RuleBasedCollator.clone()	Standard override no change in semantics
BreakIterator.next()	Returns the boundary following the current boundary If the current boundary is the last text boundary it returns BreakIterator DONE and the iterator s current position is unchanged Otherwise the iterator s current position is set to the boundary following the current boundary
AttributedString.AttributedString(AttributedCharacterIterator,int,int)	Constructs an AttributedString instance with the subrange of the given attributed text represented by AttributedCharacterIterator If the given range produces an empty text all attributes will be discarded Note that any attributes wrapped by an Annotation object are discarded for a subrange of the original attribute range
DecimalFormat.setCurrency(Currency)	Sets the currency used by this number format when formatting currency values This does not update the minimum or maximum number of fraction digits used by the number format
AttributedCharacterIterator.getRunLimit()	Returns the index of the first character following the run with respect to all attributes containing the current character
DateFormatSymbols.setEras(String[])	Sets era strings For example AD and BC
Annotation.Annotation(Object)	Constructs an annotation record with the given value which may be null
Collator.getCollationKey(String)	Transforms the String into a series of bits that can be compared bitwise to other CollationKeys CollationKeys provide better performance than Collator compare when Strings are involved in multiple comparisons
DateFormatSymbols.getInstance(Locale)	Gets the DateFormatSymbols instance for the specified locale This method provides access to DateFormatSymbols instances for locales supported by the Java runtime itself as well as for those supported by installed DateFormatSymbolsProvider implementations
SimpleDateFormat.formatToCharacterIterator(Object)	Formats an Object producing an AttributedCharacterIterator
DecimalFormatSymbols.setExponentSeparator(String)	Sets the string used to separate the mantissa from the exponent
FieldPosition.getFieldAttribute()	Returns the field identifier as an attribute constant from one of the Field subclasses May return null if the field is specified only by an integer field ID
ChoiceFormat.hashCode()	Generates a hash code for the message format object
DecimalFormat.getGroupingSize()	Return the grouping size Grouping size is the number of digits between grouping separators in the integer portion of a number For example in the number 123 456 78 the grouping size is 3
CharacterIterator.getIndex()	Returns the current index
MessageFormat.equals(Object)	Equality comparison between two message format objects
StringCharacterIterator.StringCharacterIterator(String,int)	Constructs an iterator with the specified initial index
DateFormat.setCalendar(Calendar)	Set the calendar to be used by this date format Initially the default calendar for the specified or default locale is used
DecimalFormat.parse(String,ParsePosition)	Parses text from a string to produce a Number
DecimalFormat.getMinimumFractionDigits()	Gets the minimum number of digits allowed in the fraction portion of a number
ChoiceFormat.setChoices(double[],String[])	Set the choices to be used in formatting
DecimalFormatSymbols.getNaN()	Gets the string used to represent not a number Almost always left unchanged
DateFormatProvider.getDateInstance(int,Locale)	Returns a new DateFormat instance which formats date with the given formatting style for the specified locale
DecimalFormatSymbols.DecimalFormatSymbols(Locale)	Create a DecimalFormatSymbols object for the given locale
Collator.clone()	Overrides Cloneable
DecimalFormatSymbols.hashCode()	Override hashCode
DateFormat.setTimeZone(TimeZone)	Sets the time zone for the calendar of this DateFormat object
BreakIterator.previous()	Returns the boundary preceding the current boundary If the current boundary is the first text boundary it returns BreakIterator DONE and the iterator s current position is unchanged Otherwise the iterator s current position is set to the boundary preceding the current boundary
DecimalFormatSymbols.setPerMill(char)	Sets the character used for per mille sign Different for Arabic etc
DecimalFormatSymbols.getExponentSeparator()	Returns the string used to separate the mantissa from the exponent
StringCharacterIterator.hashCode()	Computes a hashcode for this iterator
ChoiceFormat.previousDouble(double)	Finds the greatest double less than d
CollationElementIterator.primaryOrder(int)	Return the primary component of a collation element
Bidi.reorderVisually(byte[],int,Object[],int,int)	Reorder the objects in the array into visual order based on their levels
Bidi.getLevelAt(int)	Return the resolved level of the character at offset If offset is 0 or the length of the line return the base direction level
Bidi.isRightToLeft()	Return true if the line is all right to left text and the base direction is right to left
FieldPosition.equals(Object)	Overrides equals
MessageFormat.hashCode()	Generates a hash code for the message format object
SimpleDateFormat.getDateFormatSymbols()	Gets a copy of the date and time format symbols of this date format
SimpleDateFormat.toPattern()	Returns a pattern string describing this date format
CollationKey.getSourceString()	Returns the String that this CollationKey represents
DateFormat.clone()	Overrides Cloneable
DateFormat.getDateInstance(int)	Gets the date formatter with the given formatting style for the default locale
NumberFormat.setParseIntegerOnly(boolean)	Sets whether or not numbers should be parsed as integers only
Normalizer.isNormalized(CharSequence,Form)	Determines if the given sequence of char values is normalized
Collator.compare(String,String)	Compares the source string to the target string according to the collation rules for this Collator Returns an integer less than equal to or greater than zero depending on whether the source String is less than equal to or greater than the target string See the Collator class description for an example of use
DecimalFormatSymbols.DecimalFormatSymbols()	Create a DecimalFormatSymbols object for the default locale
ParsePosition.equals(Object)	Overrides equals
NumberFormat.isGroupingUsed()	Returns true if grouping is used in this format For example in the English locale with grouping on the number 1234567 might be formatted as 1 234 567 The grouping separator as well as the size of each group is locale dependant and is determined by sub classes of NumberFormat
DecimalFormat.DecimalFormat()	Creates a DecimalFormat using the default pattern and symbols for the default locale This is a convenient way to obtain a DecimalFormat when internationalization is not the main concern
BreakIterator.getLineInstance()	Returns a new BreakIterator instance for line breaks for the default locale
AttributedString.getIterator(Attribute[],int,int)	Creates an AttributedCharacterIterator instance that provides access to selected contents of this string
CollationElementIterator.secondaryOrder(int)	Return the secondary component of a collation element
BreakIterator.getLineInstance(Locale)	Returns a new BreakIterator instance for line breaks for the given locale
DateFormatSymbols.getWeekdays()	Gets weekday strings For example Sunday Monday etc
StringCharacterIterator.getIndex()	Implements CharacterIterator getIndex for String
Collator.getStrength()	Returns this Collator s strength property The strength property determines the minimum level of difference considered significant during comparison
BreakIterator.getSentenceInstance(Locale)	Returns a new BreakIterator instance for sentence breaks for the given locale
DecimalFormat.getMinimumIntegerDigits()	Gets the minimum number of digits allowed in the integer portion of a number
DecimalFormat.setMultiplier(int)	Sets the multiplier for use in percent per mille and similar formats
AttributedString.AttributedString(AttributedCharacterIterator,int,int,Attribute[])	Constructs an AttributedString instance with the subrange of the given attributed text represented by AttributedCharacterIterator Only attributes that match the given attributes will be incorporated into the instance If the given range produces an empty text all attributes will be discarded Note that any attributes wrapped by an Annotation object are discarded for a subrange of the original attribute range
AttributedCharacterIterator.Attribute.hashCode()	Returns a hash code value for the object This version is identical to the one in Object but is also final
BreakIterator.following(int)	Returns the first boundary following the specified character offset If the specified offset equals to the last text boundary it returns BreakIterator DONE and the iterator s current position is unchanged
Bidi.Bidi(char[],int,byte[],int,int,int)	Create Bidi from the given text embedding and direction information
DateFormatSymbols.getAmPmStrings()	Gets ampm strings For example AM and PM
DecimalFormatSymbols.getPercent()	Gets the character used for percent sign Different for Arabic etc
MessageFormat.MessageFormat(String)	Constructs a MessageFormat for the default locale and the specified pattern
Format.format(Object,StringBuffer,FieldPosition)	Formats an object and appends the resulting text to a given string buffer
MessageFormat.getFormats()	Gets the formats used for the format elements in the previously set pattern string
DateFormatSymbols.setAmPmStrings(String[])	Sets ampm strings For example AM and PM
RuleBasedCollator.getRules()	Gets the table based rules for the collation object
BreakIterator.first()	Returns the first boundary The iterator s current position is set to the first text boundary
DateFormat.getTimeZone()	Gets the time zone
DateFormatSymbols.getEras()	Gets era strings For example AD and BC
MessageFormat.parse(String,ParsePosition)	Parses the string
DecimalFormat.setPositivePrefix(String)	Set the positive prefix
BreakIteratorProvider.getSentenceInstance(Locale)	Returns a new BreakIterator instance for sentence breaks for the given locale
NumberFormat.getMaximumIntegerDigits()	Returns the maximum number of digits allowed in the integer portion of a number
StringCharacterIterator.StringCharacterIterator(String,int,int,int)	Constructs an iterator over the given range of the given string with the index set at the specified position
SimpleDateFormat.SimpleDateFormat(String,Locale)	Constructs a SimpleDateFormat using the given pattern and the default date format symbols for the given locale
NumberFormat.format(Object,StringBuffer,FieldPosition)	Formats a number and appends the resulting text to the given string buffer
DecimalFormat.applyPattern(String)	Apply the given pattern to this Format object A pattern is a short hand specification for the various formatting properties
DecimalFormatSymbols.getCurrency()	Gets the currency of these DecimalFormatSymbols May be null if the currency symbol attribute was previously set to a value that s not a valid ISO 4217 currency code
FieldPosition.toString()	Return a string representation of this FieldPosition
DecimalFormat.toPattern()	Synthesizes a pattern string that represents the current state of this Format object
BreakIterator.getCharacterInstance()	Returns a new BreakIterator instance for character breaks for the default locale
RuleBasedCollator.hashCode()	Generates the hash code for the table based collation object
DecimalFormat.isParseBigDecimal()	Returns whether the parse java lang String java text ParsePosition method returns BigDecimal The default value is false
DateFormatSymbols.setShortMonths(String[])	Sets short month strings For example Jan Feb etc
Bidi.getRunCount()	Return the number of level runs
BreakIterator.setText(String)	Set a new text string to be scanned The current scan position is reset to first
AttributedString.getIterator(Attribute[])	Creates an AttributedCharacterIterator instance that provides access to selected contents of this string
Bidi.toString()	Display the bidi internal state used in debugging
NumberFormat.setCurrency(Currency)	Sets the currency used by this number format when formatting currency values This does not update the minimum or maximum number of fraction digits used by the number format
DecimalFormatSymbols.equals(Object)	Override equals
DecimalFormatSymbols.clone()	Standard override
StringCharacterIterator.clone()	Creates a copy of this iterator
DecimalFormatSymbols.setZeroDigit(char)	Sets the character used for zero Different for Arabic etc
DecimalFormat.setNegativeSuffix(String)	Set the negative suffix
ChoiceFormat.equals(Object)	Equality comparision between two
FieldPosition.getBeginIndex()	Retrieves the index of the first character in the requested field
Format.format(Object)	Formats an object to produce a string This is equivalent to format obj new StringBuffer new FieldPosition 0 toString
NumberFormat.hashCode()	Overrides hashCode
