PrintStream.append(char)	Appends the specified character to this output stream
Reader.mark(int)	Marks the present position in the stream Subsequent calls to reset will attempt to reposition the stream to this point Not all character input streams support the mark operation
ObjectOutputStream.PutField.put(String,int)	Put the value of the named int field into the persistent field
PipedReader.read(char[],int,int)	Reads up to len characters of data from this piped stream into an array of characters Less than len characters will be read if the end of the data stream is reached or if len exceeds the pipe s buffer size This method blocks until at least one character of input is available
ObjectInputStream.readUnsignedByte()	Reads an unsigned 8 bit byte
DataInput.readFully(byte[],int,int)	Reads len bytes from an input stream
PushbackInputStream.close()	Closes this input stream and releases any system resources associated with the stream
PrintWriter.format(String,)	Writes a formatted string to this writer using the specified format string and arguments If automatic flushing is enabled calls to this method will flush the output buffer
ByteArrayInputStream.markSupported()	Tests if this InputStream supports mark reset The markSupported method of ByteArrayInputStream always returns true
BufferedInputStream.read()	See the general contract of the read method of InputStream
BufferedWriter.newLine()	Writes a line separator The line separator string is defined by the system property line separator and is not necessarily a single newline n character
SequenceInputStream.read(byte[],int,int)	Reads up to len bytes of data from this input stream into an array of bytes If len is not zero the method blocks until at least 1 byte of input is available otherwise no bytes are read and 0 is returned
RandomAccessFile.readChar()	Reads a character from this file This method reads two bytes from the file starting at the current file pointer
ObjectInputStream.GetField.get(String,long)	Get the value of the named long field from the persistent field
RandomAccessFile.writeDouble(double)	Converts the double argument to a long using the doubleToLongBits method in class Double and then writes that long value to the file as an eight byte quantity high byte first The write starts at the current position of the file pointer
PrintStream.print(boolean)	Prints a boolean value The string produced by String valueOf boolean is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
PrintStream.println(long)	Prints a long and then terminate the line This method behaves as though it invokes print long and then println
OutputStream.flush()	Flushes this output stream and forces any buffered output bytes to be written out The general contract of flush is that calling it is an indication that if any bytes previously written have been buffered by the implementation of the output stream such bytes should immediately be written to their intended destination
StringBufferInputStream.StringBufferInputStream(String)	Creates a string input stream to read data from the specified string
ObjectInputStream.readDouble()	Reads a 64 bit double
RandomAccessFile.writeShort(int)	Writes a short to the file as two bytes high byte first
OutputStream.write(int)	Writes the specified byte to this output stream The general contract for write is that one byte is written to the output stream The byte to be written is the eight low order bits of the argument b The 24 high order bits of b are ignored
FileReader.FileReader(File)	Creates a new FileReader given the File to read from
RandomAccessFile.writeChar(int)	Writes a char to the file as a two byte value high byte first The write starts at the current position of the file pointer
DataInputStream.readFully(byte[])	See the general contract of the readFully method of DataInput
InputStreamReader.InputStreamReader(InputStream)	Creates an InputStreamReader that uses the default charset
PrintWriter.write(char[])	Writes an array of characters This method cannot be inherited from the Writer class because it must suppress I O exceptions
BufferedInputStream.close()	Closes this input stream and releases any system resources associated with the stream
DataOutputStream.size()	Returns the current value of the counter written the number of bytes written to this data output stream so far
FileOutputStream.FileOutputStream(File)	Creates a file output stream to write to the file represented by the specified File object A new FileDescriptor object is created to represent this file connection
PrintWriter.print(float)	Prints a floating point number The string produced by String valueOf float is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
DataOutput.writeDouble(double)	Writes a double value which is comprised of eight bytes to the output stream
ObjectInput.close()	Closes the input stream Must be called to release any resources associated with the stream
ObjectOutputStream.writeDouble(double)	Writes a 64 bit double
RandomAccessFile.readFully(byte[])	Reads b length bytes from this file into the byte array starting at the current file pointer This method reads repeatedly from the file until the requested number of bytes are read This method blocks until the requested number of bytes are read the end of the stream is detected or an exception is thrown
DataOutput.writeLong(long)	Writes a long value which is comprised of eight bytes to the output stream
DataOutput.writeInt(int)	Writes an int value which is comprised of four bytes to the output stream
PrintWriter.checkError()	Flushes the stream if it s not closed and checks its error state
FilePermission.newPermissionCollection()	Returns a new PermissionCollection object for storing FilePermission objects
ObjectInputStream.readFields()	Reads the persistent fields from the stream and makes them available by name
BufferedWriter.write(String,int,int)	Writes a portion of a String
DataOutputStream.writeLong(long)	Writes a long to the underlying output stream as eight bytes high byte first In no exception is thrown the counter written is incremented by 8
LineNumberReader.skip(long)	Skip characters
InputStreamReader.read()	Reads a single character
LineNumberReader.LineNumberReader(Reader)	Create a new line numbering reader using the default input buffer size
PrintStream.PrintStream(File,String)	Creates a new print stream without automatic line flushing with the specified file and charset This convenience constructor creates the necessary intermediate OutputStreamWriter which will encode characters using the provided charset
File.canWrite()	Tests whether the application can modify the file denoted by this abstract pathname
CharArrayWriter.size()	Returns the current size of the buffer
ObjectInputStream.GetField.get(String,char)	Get the value of the named char field from the persistent field
ObjectInputStream.GetField.getObjectStreamClass()	Get the ObjectStreamClass that describes the fields in the stream
ObjectInputStream.GetField.get(String,int)	Get the value of the named int field from the persistent field
DataInput.readInt()	Reads four input bytes and returns an int value Let a d be the first through fourth bytes read The value returned is a 0xff 24 b 0xff 16 c 0xff 8 d 0xff This method is suitable for reading bytes written by the writeInt method of interface DataOutput
ByteArrayOutputStream.toString()	Converts the buffer s contents into a string decoding bytes using the platform s default character set The length of the new String is a function of the character set and hence may not be equal to the size of the buffer
ByteArrayOutputStream.reset()	Resets the count field of this byte array output stream to zero so that all currently accumulated output in the output stream is discarded The output stream can be used again reusing the already allocated buffer space
PushbackInputStream.read(byte[],int,int)	Reads up to len bytes of data from this input stream into an array of bytes This method first reads any pushed back bytes after that if fewer than len bytes have been read then it reads from the underlying input stream If len is not zero the method blocks until at least 1 byte of input is available otherwise no bytes are read and 0 is returned
DataInputStream.read(byte[],int,int)	Reads up to len bytes of data from the contained input stream into an array of bytes An attempt is made to read as many as len bytes but a smaller number may be read possibly zero The number of bytes actually read is returned as an integer
InputStreamReader.getEncoding()	Returns the name of the character encoding being used by this stream
FileInputStream.read()	Reads a byte of data from this input stream This method blocks if no input is yet available
InputStreamReader.InputStreamReader(InputStream,CharsetDecoder)	Creates an InputStreamReader that uses the given charset decoder
Writer.write(char[])	Writes an array of characters
PushbackReader.ready()	Tells whether this stream is ready to be read
PipedReader.PipedReader(PipedWriter,int)	Creates a PipedReader so that it is connected to the piped writer src and uses the specified pipe size for the pipe s buffer Data written to src will then be available as input from this stream
PipedReader.read()	Reads the next character of data from this piped stream
ByteArrayInputStream.reset()	Resets the buffer to the marked position The marked position is 0 unless another position was marked or an offset was specified in the constructor
Reader.read(char[])	Reads characters into an array This method will block until some input is available an I O error occurs or the end of the stream is reached
FilterOutputStream.write(byte[])	Writes b length bytes to this output stream
DataInputStream.readFully(byte[],int,int)	See the general contract of the readFully method of DataInput
PipedReader.connect(PipedWriter)	Causes this piped reader to be connected to the piped writer src
File.listFiles(FileFilter)	Returns an array of abstract pathnames denoting the files and directories in the directory denoted by this abstract pathname that satisfy the specified filter The behavior of this method is the same as that of the listFiles method except that the pathnames in the returned array must satisfy the filter If the given filter is null then all pathnames are accepted Otherwise a pathname satisfies the filter if and only if the value true results when the FileFilter accept File method of the filter is invoked on the pathname
ObjectInputStream.readFully(byte[],int,int)	Reads bytes blocking until all bytes are read
RandomAccessFile.write(int)	Writes the specified byte to this file The write starts at the current file pointer
File.getPath()	Converts this abstract pathname into a pathname string The resulting string uses the default name separator character to separate the names in the name sequence
LineNumberInputStream.reset()	Repositions this stream to the position at the time the mark method was last called on this input stream
PrintWriter.write(char[],int,int)	Writes A Portion of an array of characters
PrintStream.append(CharSequence,int,int)	Appends a subsequence of the specified character sequence to this output stream
PipedReader.ready()	Tell whether this stream is ready to be read A piped character stream is ready if the circular buffer is not empty
ObjectInputStream.GetField.get(String,boolean)	Get the value of the named boolean field from the persistent field
ObjectOutputStream.PutField.put(String,float)	Put the value of the named float field into the persistent field
BufferedInputStream.markSupported()	Tests if this input stream supports the mark and reset methods The markSupported method of BufferedInputStream returns true
InputStream.read()	Reads the next byte of data from the input stream The value byte is returned as an int in the range 0 to 255 If no byte is available because the end of the stream has been reached the value 1 is returned This method blocks until input data is available the end of the stream is detected or an exception is thrown
File.setWritable(boolean,boolean)	Sets the owner s or everybody s write permission for this abstract pathname
DataOutput.write(int)	Writes to the output stream the eight low order bits of the argument b
ByteArrayInputStream.ByteArrayInputStream(byte[],int,int)	Creates ByteArrayInputStream that uses buf as its buffer array The initial value of pos is offset and the initial value of count is the minimum of offset length and buf length
StreamTokenizer.toString()	Returns the string representation of the current stream token and the line number it occurs on
CharArrayWriter.CharArrayWriter(int)	Creates a new CharArrayWriter with the specified initial size
File.lastModified()	Returns the time that the file denoted by this abstract pathname was last modified
PrintStream.PrintStream(String,String)	Creates a new print stream without automatic line flushing with the specified file name and charset This convenience constructor creates the necessary intermediate OutputStreamWriter which will encode characters using the provided charset
RandomAccessFile.RandomAccessFile(File,String)	Creates a random access file stream to read from and optionally to write to the file specified by the File argument A new FileDescriptor object is created to represent this file connection
FileOutputStream.FileOutputStream(FileDescriptor)	Creates a file output stream to write to the specified file descriptor which represents an existing connection to an actual file in the file system
ObjectStreamClass.toString()	Return a string describing this ObjectStreamClass
ObjectOutputStream.PutField.put(String,short)	Put the value of the named short field into the persistent field
StringWriter.append(CharSequence)	Appends the specified character sequence to this writer
FilterWriter.write(String,int,int)	Writes a portion of a string
PrintWriter.println(float)	Prints a floating point number and then terminates the line This method behaves as though it invokes print float and then println
Reader.read(char[],int,int)	Reads characters into a portion of an array This method will block until some input is available an I O error occurs or the end of the stream is reached
StringWriter.write(char[],int,int)	Write a portion of an array of characters
ObjectOutput.flush()	Flushes the stream This will write any buffered output bytes
PrintStream.print(String)	Prints a string If the argument is null then the string null is printed Otherwise the string s characters are converted into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
CharArrayWriter.toCharArray()	Returns a copy of the input data
DataOutput.write(byte[],int,int)	Writes len bytes from array b in order to the output stream If b is null a NullPointerException is thrown If off is negative or len is negative or off len is greater than the length of the array b then an IndexOutOfBoundsException is thrown If len is zero then no bytes are written Otherwise the byte b off is written first then b off 1 and so on the last byte written is b off len 1
InputStream.mark(int)	Marks the current position in this input stream A subsequent call to the reset method repositions this stream at the last marked position so that subsequent reads re read the same bytes
DataOutputStream.writeChar(int)	Writes a char to the underlying output stream as a 2 byte value high byte first If no exception is thrown the counter written is incremented by 2
FilterOutputStream.write(byte[],int,int)	Writes len bytes from the specified byte array starting at offset off to this output stream
File.File(File,String)	Creates a new File instance from a parent abstract pathname and a child pathname string
PrintWriter.println(double)	Prints a double precision floating point number and then terminates the line This method behaves as though it invokes print double and then println
File.getAbsoluteFile()	Returns the absolute form of this abstract pathname Equivalent to new File this getAbsolutePath
PrintWriter.PrintWriter(String,String)	Creates a new PrintWriter without automatic line flushing with the specified file name and charset This convenience constructor creates the necessary intermediate OutputStreamWriter which will encode characters using the provided charset
PipedOutputStream.PipedOutputStream(PipedInputStream)	Creates a piped output stream connected to the specified piped input stream Data bytes written to this stream will then be available as input from snk
ObjectStreamField.ObjectStreamField(String,Class)	Create a Serializable field with the specified type This field should be documented with a serialField tag
File.setReadOnly()	Marks the file or directory named by this abstract pathname so that only read operations are allowed After invoking this method the file or directory is guaranteed not to change until it is either deleted or marked to allow write access Whether or not a read only file or directory may be deleted depends upon the underlying system
PrintStream.print(char)	Prints a character The character is translated into one or more bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
FilterWriter.flush()	Flushes the stream
ObjectInputStream.readShort()	Reads a 16 bit short
BufferedWriter.close()	Description copied from class Writer
StringReader.reset()	Resets the stream to the most recent mark or to the beginning of the string if it has never been marked
DataInput.readLong()	Reads eight input bytes and returns a long value Let a h be the first through eighth bytes read
File.list(FilenameFilter)	Returns an array of strings naming the files and directories in the directory denoted by this abstract pathname that satisfy the specified filter The behavior of this method is the same as that of the list method except that the strings in the returned array must satisfy the filter If the given filter is null then all names are accepted Otherwise a name satisfies the filter if and only if the value true results when the FilenameFilter accept File String method of the filter is invoked on this abstract pathname and the name of a file or directory in the directory that it denotes
PrintStream.close()	Closes the stream This is done by flushing the stream and then closing the underlying output stream
File.equals(Object)	Tests this abstract pathname for equality with the given object
File.compareTo(File)	Compares two abstract pathnames lexicographically The ordering defined by this method depends upon the underlying system On UNIX systems alphabetic case is significant in comparing pathnames on Microsoft Windows systems it is not
BufferedInputStream.skip(long)	See the general contract of the skip method of InputStream
Externalizable.writeExternal(ObjectOutput)	The object implements the writeExternal method to save its contents by calling the methods of DataOutput for its primitive values or calling the writeObject method of ObjectOutput for objects strings and arrays
FilterReader.reset()	Resets the stream
ObjectInputStream.GetField.get(String,Object)	Get the value of the named Object field from the persistent field
ObjectOutputStream.PutField.put(String,long)	Put the value of the named long field into the persistent field
FileInputStream.getChannel()	Returns the unique FileChannel object associated with this file input stream
PrintWriter.write(int)	Writes a single character
PipedWriter.PipedWriter(PipedReader)	Creates a piped writer connected to the specified piped reader Data characters written to this stream will then be available as input from snk
File.getCanonicalFile()	Returns the canonical form of this abstract pathname Equivalent to new File this getCanonicalPath
PrintStream.format(String,)	Writes a formatted string to this output stream using the specified format string and arguments
FilterReader.skip(long)	Skips characters
Console.printf(String,)	A convenience method to write a formatted string to this console s output stream using the specified format string and arguments
PrintWriter.print(char)	Prints a character The character is translated into one or more bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
PipedWriter.write(char[],int,int)	Writes len characters from the specified character array starting at offset off to this piped output stream
FileReader.FileReader(FileDescriptor)	Creates a new FileReader given the FileDescriptor to read from
PrintStream.println(char[])	Prints an array of characters and then terminate the line This method behaves as though it invokes print char and then println
StringWriter.StringWriter(int)	Create a new string writer using the specified initial string buffer size
ObjectStreamField.isPrimitive()	Return true if this field has a primitive type
StreamTokenizer.eolIsSignificant(boolean)	Determines whether or not ends of line are treated as tokens
OutputStreamWriter.OutputStreamWriter(OutputStream)	Creates an OutputStreamWriter that uses the default character encoding
OutputStreamWriter.write(char[],int,int)	Writes a portion of an array of characters
LineNumberReader.getLineNumber()	Get the current line number
RandomAccessFile.skipBytes(int)	Attempts to skip over n bytes of input discarding the skipped bytes
PrintWriter.write(String)	Writes a string This method cannot be inherited from the Writer class because it must suppress I O exceptions
PipedInputStream.read()	Reads the next byte of data from this piped input stream The value byte is returned as an int in the range 0 to 255
ObjectInputStream.defaultReadObject()	Read the non static and non transient fields of the current class from this stream This may only be called from the readObject method of the class being deserialized It will throw the NotActiveException if it is called otherwise
File.hashCode()	Computes a hash code for this abstract pathname Because equality of abstract pathnames is inherently system dependent so is the computation of their hash codes On UNIX systems the hash code of an abstract pathname is equal to the exclusive or of the hash code of its pathname string and the decimal value 1234321 On Microsoft Windows systems the hash code is equal to the exclusive or of the hash code of its pathname string converted to lower case and the decimal value 1234321 Locale is not taken into account on lowercasing the pathname string
PrintStream.print(float)	Prints a floating point number The string produced by String valueOf float is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
File.deleteOnExit()	Requests that the file or directory denoted by this abstract pathname be deleted when the virtual machine terminates
FilterOutputStream.close()	Closes this output stream and releases any system resources associated with the stream
OutputStreamWriter.write(int)	Writes a single character
LineNumberInputStream.setLineNumber(int)	Sets the line number to the specified argument
BufferedReader.reset()	Resets the stream to the most recent mark
ObjectInputStream.registerValidation(ObjectInputValidation,int)	Register an object to be validated before the graph is returned While similar to resolveObject these validations are called after the entire graph has been reconstituted Typically a readObject method will register the object with the stream so that when all of the objects are restored a final set of validations can be performed
PrintStream.print(double)	Prints a double precision floating point number The string produced by String valueOf double is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
FilterOutputStream.flush()	Flushes this output stream and forces any buffered output bytes to be written out to the stream
PushbackReader.mark(int)	Marks the present position in the stream The mark for class PushbackReader always throws an exception
PipedInputStream.connect(PipedOutputStream)	Causes this piped input stream to be connected to the piped output stream src
StringReader.close()	Closes the stream and releases any system resources associated with it Once the stream has been closed further read ready mark or reset invocations will throw an IOException
PrintStream.println(char)	Prints a character and then terminate the line This method behaves as though it invokes print char and then println
PrintWriter.PrintWriter(Writer,boolean)	Creates a new PrintWriter
FileInputStream.FileInputStream(String)	Creates a FileInputStream by opening a connection to an actual file the file named by the path name name in the file system A new FileDescriptor object is created to represent this file connection
StringWriter.flush()	Flush the stream
BufferedInputStream.read(byte[],int,int)	Reads bytes from this byte input stream into the specified byte array starting at the given offset
Writer.write(int)	Writes a single character The character to be written is contained in the 16 low order bits of the given integer value the 16 high order bits are ignored
Closeable.close()	Closes this stream and releases any system resources associated with it If the stream is already closed then invoking this method has no effect
File.toString()	Returns the pathname string of this abstract pathname This is just the string returned by the getPath method
FilePermission.implies(Permission)	Checks if this FilePermission object implies the specified permission
ObjectInputStream.readBoolean()	Reads in a boolean
CharArrayReader.markSupported()	Tells whether this stream supports the mark operation which it does
ObjectOutputStream.PutField.put(String,Object)	Put the value of the named Object field into the persistent field
PipedWriter.write(int)	Writes the specified char to the piped output stream
OutputStreamWriter.OutputStreamWriter(OutputStream,Charset)	Creates an OutputStreamWriter that uses the given charset
CharArrayReader.ready()	Tells whether this stream is ready to be read Character array readers are always ready to be read
PushbackInputStream.unread(byte[])	Pushes back an array of bytes by copying it to the front of the pushback buffer After this method returns the next byte to be read will have the value b 0 the byte after that will have the value b 1 and so forth
ObjectInputStream.readLong()	Reads a 64 bit long
PipedWriter.PipedWriter()	Creates a piped writer that is not yet connected to a piped reader It must be connected to a piped reader either by the receiver or the sender before being used
File.setReadable(boolean,boolean)	Sets the owner s or everybody s read permission for this abstract pathname
FileInputStream.FileInputStream(FileDescriptor)	Creates a FileInputStream by using the file descriptor fdObj which represents an existing connection to an actual file in the file system
File.getName()	Returns the name of the file or directory denoted by this abstract pathname This is just the last name in the pathname s name sequence If the pathname s name sequence is empty then the empty string is returned
OutputStreamWriter.flush()	Flushes the stream
File.setExecutable(boolean)	A convenience method to set the owner s execute permission for this abstract pathname
StreamTokenizer.slashSlashComments(boolean)	Determines whether or not the tokenizer recognizes C style comments
File.getCanonicalPath()	Returns the canonical pathname string of this abstract pathname
LineNumberReader.read(char[],int,int)	Read characters into a portion of an array Whenever a line terminator is read the current line number is incremented
StringReader.markSupported()	Tells whether this stream supports the mark operation which it does
PushbackInputStream.mark(int)	Marks the current position in this input stream
StringReader.StringReader(String)	Creates a new string reader
File.exists()	Tests whether the file or directory denoted by this abstract pathname exists
ObjectOutputStream.flush()	Flushes the stream This will write any buffered output bytes and flush through to the underlying stream
Reader.read(CharBuffer)	Attempts to read characters into the specified character buffer
FilterReader.mark(int)	Marks the present position in the stream
RandomAccessFile.read(byte[])	Reads up to b length bytes of data from this file into an array of bytes This method blocks until at least one byte of input is available
ByteArrayOutputStream.ByteArrayOutputStream(int)	Creates a new byte array output stream with a buffer capacity of the specified size in bytes
File.isFile()	Tests whether the file denoted by this abstract pathname is a normal file A file is normal if it is not a directory and in addition satisfies other system dependent criteria Any non directory file created by a Java application is guaranteed to be a normal file
ObjectStreamField.toString()	Return a string that describes this field
FilePermission.equals(Object)	Checks two FilePermission objects for equality Checks that obj is a FilePermission and has the same pathname and actions as this object
PrintWriter.println(Object)	Prints an Object and then terminates the line This method calls at first String valueOf x to get the printed object s string value then behaves as though it invokes print String and then println
File.isDirectory()	Tests whether the file denoted by this abstract pathname is a directory
CharArrayWriter.writeTo(Writer)	Writes the contents of the buffer to another character stream
DataInputStream.readFloat()	See the general contract of the readFloat method of DataInput
DataInput.readChar()	Reads two input bytes and returns a char value
PrintStream.println(boolean)	Prints a boolean and then terminate the line This method behaves as though it invokes print boolean and then println
ObjectStreamClass.getName()	Returns the name of the class described by this descriptor
PushbackReader.PushbackReader(Reader,int)	Creates a new pushback reader with a pushback buffer of the given size
File.getParentFile()	Returns the abstract pathname of this abstract pathname s parent or null if this pathname does not name a parent directory
ObjectOutputStream.PutField.put(String,double)	Put the value of the named double field into the persistent field
InputStream.available()	Returns an estimate of the number of bytes that can be read or skipped over from this input stream without blocking by the next invocation of a method for this input stream The next invocation might be the same thread or another thread A single read or skip of this many bytes will not block but may read or skip fewer bytes
ObjectInputStream.readObject()	Read an object from the ObjectInputStream The class of the object the signature of the class and the values of the non transient and non static fields of the class and all of its supertypes are read
PipedInputStream.available()	Returns the number of bytes that can be read from this input stream without blocking
BufferedReader.close()	Description copied from class Reader
DataOutputStream.writeFloat(float)	Converts the float argument to an int using the floatToIntBits method in class Float and then writes that int value to the underlying output stream as a 4 byte quantity high byte first If no exception is thrown the counter written is incremented by 4
File.isHidden()	Tests whether the file named by this abstract pathname is a hidden file The exact definition of hidden is system dependent On UNIX systems a file is considered to be hidden if its name begins with a period character On Microsoft Windows systems a file is considered to be hidden if it has been marked as such in the filesystem
StreamTokenizer.StreamTokenizer(Reader)	Create a tokenizer that parses the given character stream
File.toURI()	Constructs a file URI that represents this abstract pathname
LineNumberReader.mark(int)	Mark the present position in the stream Subsequent calls to reset will attempt to reposition the stream to this point and will also reset the line number appropriately
ObjectInput.readObject()	Read and return an object The class that implements this interface defines where the object is read from
StreamTokenizer.nextToken()	Parses the next token from the input stream of this tokenizer
ObjectInputStream.available()	Returns the number of bytes that can be read without blocking
FileReader.FileReader(String)	Creates a new FileReader given the name of the file to read from
CharArrayReader.skip(long)	Skips characters Returns the number of characters that were skipped
CharArrayWriter.write(int)	Writes a character to the buffer
BufferedWriter.write(char[],int,int)	Writes a portion of an array of characters
StringWriter.StringWriter()	Create a new string writer using the default initial string buffer size
ObjectOutputStream.PutField.put(String,byte)	Put the value of the named byte field into the persistent field
OutputStreamWriter.OutputStreamWriter(OutputStream,String)	Creates an OutputStreamWriter that uses the named charset
ObjectStreamClass.lookup(Class)	Find the descriptor for a class that can be serialized Creates an ObjectStreamClass instance if one does not exist yet for class Null is returned if the specified class does not implement java io Serializable or java io Externalizable
DataOutputStream.writeBytes(String)	Writes out the string to the underlying output stream as a sequence of bytes Each character in the string is written out in sequence by discarding its high eight bits If no exception is thrown the counter written is incremented by the length of s
PushbackReader.read()	Reads a single character
RandomAccessFile.writeChars(String)	Writes a string to the file as a sequence of characters Each character is written to the data output stream as if by the writeChar method The write starts at the current position of the file pointer
ObjectOutputStream.write(byte[])	Writes an array of bytes This method will block until the bytes are actually written
RandomAccessFile.setLength(long)	Sets the length of this file
SequenceInputStream.read()	Reads the next byte of data from this input stream The byte is returned as an int in the range 0 to 255 If no byte is available because the end of the stream has been reached the value 1 is returned
CharArrayReader.read()	Reads a single character
FilterInputStream.close()	Closes this input stream and releases any system resources associated with the stream
DataOutputStream.DataOutputStream(OutputStream)	Creates a new data output stream to write data to the specified underlying output stream The counter written is set to zero
Reader.read()	Reads a single character This method will block until a character is available an I O error occurs or the end of the stream is reached
FileFilter.accept(File)	Tests whether or not the specified abstract pathname should be included in a pathname list
OutputStreamWriter.getEncoding()	Returns the name of the character encoding being used by this stream
LineNumberInputStream.LineNumberInputStream(InputStream)	Constructs a newline number input stream that reads its input from the specified input stream
FileWriter.FileWriter(String,boolean)	Constructs a FileWriter object given a file name with a boolean indicating whether or not to append the data written
PrintStream.flush()	Flushes the stream This is done by writing any buffered output bytes to the underlying output stream and then flushing that stream
File.list()	Returns an array of strings naming the files and directories in the directory denoted by this abstract pathname
PrintWriter.println(long)	Prints a long integer and then terminates the line This method behaves as though it invokes print long and then println
ByteArrayInputStream.ByteArrayInputStream(byte[])	Creates a ByteArrayInputStream so that it uses buf as its buffer array
FileInputStream.read(byte[])	Reads up to b length bytes of data from this input stream into an array of bytes This method blocks until some input is available
ObjectOutputStream.writeFloat(float)	Writes a 32 bit float
ObjectOutputStream.ObjectOutputStream(OutputStream)	Creates an ObjectOutputStream that writes to the specified OutputStream
ObjectInput.skip(long)	Skips n bytes of input
PrintWriter.print(boolean)	Prints a boolean value The string produced by String valueOf boolean is translated into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
DataInputStream.readBoolean()	See the general contract of the readBoolean method of DataInput
LineNumberReader.LineNumberReader(Reader,int)	Create a new line numbering reader reading characters into a buffer of the given size
PrintStream.print(char[])	Prints an array of characters The characters are converted into bytes according to the platform s default character encoding and these bytes are written in exactly the manner of the write int method
ByteArrayInputStream.read()	Reads the next byte of data from this input stream The value byte is returned as an int in the range 0 to 255 If no byte is available because the end of the stream has been reached the value 1 is returned
FileOutputStream.write(byte[],int,int)	Writes len bytes from the specified byte array starting at offset off to this file output stream
File.createNewFile()	Atomically creates a new empty file named by this abstract pathname if and only if a file with this name does not yet exist The check for the existence of the file and the creation of the file if it does not exist are a single operation that is atomic with respect to all other filesystem activities that might affect the file
PrintWriter.append(CharSequence)	Appends the specified character sequence to this writer
DataInputStream.readLong()	See the general contract of the readLong method of DataInput
PushbackReader.unread(int)	Pushes back a single character by copying it to the front of the pushback buffer After this method returns the next character to be read will have the value char c
OutputStream.close()	Closes this output stream and releases any system resources associated with this stream The general contract of close is that it closes the output stream A closed stream cannot perform output operations and cannot be reopened
PrintWriter.println(boolean)	Prints a boolean value and then terminates the line This method behaves as though it invokes print boolean and then println
Reader.ready()	Tells whether this stream is ready to be read
File.setExecutable(boolean,boolean)	Sets the owner s or everybody s execute permission for this abstract pathname
OutputStream.write(byte[])	Writes b length bytes from the specified byte array to this output stream The general contract for write b is that it should have exactly the same effect as the call write b 0 b length
BufferedOutputStream.write(byte[],int,int)	Writes len bytes from the specified byte array starting at offset off to this buffered output stream
DataInput.readFloat()	Reads four input bytes and returns a float value It does this by first constructing an int value in exactly the manner of the readInt method then converting this int value to a float in exactly the manner of the method Float intBitsToFloat
DataOutputStream.writeByte(int)	Writes out a byte to the underlying output stream as a 1 byte value If no exception is thrown the counter written is incremented by 1
StringWriter.toString()	Return the buffer s current value as a string
FilterInputStream.read()	Reads the next byte of data from this input stream The value byte is returned as an int in the range 0 to 255 If no byte is available because the end of the stream has been reached the value 1 is returned This method blocks until input data is available the end of the stream is detected or an exception is thrown
ObjectOutputStream.writeFields()	Write the buffered fields to the stream
FilePermission.hashCode()	Returns the hash code value for this object
StreamTokenizer.lineno()	Return the current line number
Externalizable.readExternal(ObjectInput)	The object implements the readExternal method to restore its contents by calling the methods of DataInput for primitive types and readObject for objects strings and arrays The readExternal method must read the values in the same sequence and with the same types as were written by writeExternal
File.createTempFile(String,String,File)	Creates a new empty file in the specified directory using the given prefix and suffix strings to generate its name If this method returns successfully then it is guaranteed that The file denoted by the returned abstract pathname did not exist before this method was invoked and Neither this method nor any of its variants will return the same abstract pathname again in the current invocation of the virtual machine
DataInput.readUnsignedByte()	Reads one input byte zero extends it to type int and returns the result which is therefore in the range 0 through 255
ObjectInputStream.read(byte[],int,int)	Reads into an array of bytes This method will block until some input is available Consider using java io DataInputStream readFully to read exactly length bytes
ObjectOutputStream.writeByte(int)	Writes an 8 bit byte
PushbackInputStream.markSupported()	Tests if this input stream supports the mark and reset methods which it does not
File.renameTo(File)	Renames the file denoted by this abstract pathname
StringReader.read()	Reads a single character
FileInputStream.available()	Returns an estimate of the number of remaining bytes that can be read or skipped over from this input stream without blocking by the next invocation of a method for this input stream The next invocation might be the same thread or another thread A single read or skip of this many bytes will not block but may read or skip fewer bytes
BufferedReader.read(char[],int,int)	Reads characters into a portion of an array
InputStream.read(byte[],int,int)	Reads up to len bytes of data from the input stream into an array of bytes An attempt is made to read as many as len bytes but a smaller number may be read
File.listRoots()	List the available filesystem roots
ObjectStreamField.getName()	Get the name of this field
DataOutput.writeBytes(String)	Writes a string to the output stream
PrintWriter.println()	Terminates the current line by writing the line separator string The line separator string is defined by the system property line separator and is not necessarily a single newline character n
LineNumberInputStream.mark(int)	Marks the current position in this input stream A subsequent call to the reset method repositions this stream at the last marked position so that subsequent reads re read the same bytes
DataInputStream.read(byte[])	Reads some number of bytes from the contained input stream and stores them into the buffer array b The number of bytes actually read is returned as an integer This method blocks until input data is available end of file is detected or an exception is thrown
PushbackReader.skip(long)	Skips characters This method will block until some characters are available an I O error occurs or the end of the stream is reached
SerializablePermission.SerializablePermission(String,String)	Creates a new SerializablePermission object with the specified name
