Thread.checkAccess()	Determines if the currently running thread has permission to modify this thread
LockInfo.toString()	Returns a string representation of a lock The returned string representation consists of the name of the class of the lock object the at sign character and the unsigned hexadecimal representation of the identity hash code of the object This method returns a string equals to the value of lock getClass getName Integer toHexString System identityHashCode lock where lock is the lock object
Array.setInt(Object,int,int)	Sets the value of the indexed component of the specified array object to the specified int value
Math.tanh(double)	Returns the hyperbolic tangent of a double value
Byte.compare(byte,byte)	Compares two byte values numerically
MethodType.parameterArray()	Presents the parameter types as an array a convenience method
Annotation.hashCode()	Returns the hash code of this annotation as defined below The hash code of an annotation is the sum of the hash codes of its members including those with default values as defined below The hash code of an annotation member is 127 times the hash code of the member name as computed by String hashCode XOR the hash code of the member value as defined below The hash code of a member value depends on its type The hash code of a primitive value v is equal to WrapperType valueOf v hashCode where WrapperType is the wrapper type corresponding to the primitive type of v Byte Character Double Float Integer Long Short or Boolean
NumberFormatException.NumberFormatException()	Constructs a NumberFormatException with no detail message
Instrumentation.appendToBootstrapClassLoaderSearch(JarFile)	Specifies a JAR file with instrumentation classes to be defined by the bootstrap class loader
String.substring(int,int)	Returns a new string that is a substring of this string The substring begins at the specified beginIndex and extends to the character at index endIndex 1
Thread.start()	Causes this thread to begin execution the Java Virtual Machine calls the run method of this thread
Math.log1p(double)	Returns the natural logarithm of the sum of the argument and 1
Math.min(long,long)	Returns the smaller of two long values That is the result is the argument closer to the value of Long MIN VALUE If the arguments have the same value the result is that same value
String.compareToIgnoreCase(String)	Compares two strings lexicographically ignoring case differences This method returns an integer whose sign is that of calling compareTo with normalized versions of the strings where case differences have been eliminated by calling Character toLowerCase Character toUpperCase character on each character
VirtualMachineError.VirtualMachineError()	Constructs a VirtualMachineError with no detail message
Character.isJavaLetterOrDigit(char)	Determines if the specified character may be part of a Java identifier as other than the first character
Math.abs(int)	Returns the absolute value of an int value
String.offsetByCodePoints(int,int)	Returns the index within this String that is offset from the given index by codePointOffset code points Unpaired surrogates within the text range given by index and codePointOffset count as one code point each
Float.toHexString(float)	Returns a hexadecimal string representation of the float argument All characters mentioned below are ASCII characters
Double.hashCode()	Returns a hash code for this Double object The result is the exclusive OR of the two halves of the long integer bit representation exactly as produced by the method doubleToLongBits double of the primitive double value represented by this Double object That is the hash code is the value of the expression int v v 32 where v is defined by long v Double doubleToLongBits this doubleValue
Runtime.loadLibrary(String)	Loads the dynamic library with the specified library name
MemoryUsage.toString()	Returns a descriptive representation of this memory usage
AccessibleObject.getAnnotations()	Description copied from interface AnnotatedElement
StringBuffer.insert(int,char)	Inserts the string representation of the char argument into this sequence
Boolean.valueOf(String)	Returns a Boolean with a value represented by the specified string The Boolean returned represents a true value if the string argument is not null and is equal ignoring case to the string true
MethodType.appendParameterTypes(Class)	Finds or creates a method type with additional parameter types
Object.toString()	Returns a string representation of the object In general the toString method returns a string that textually represents this object The result should be a concise but informative representation that is easy for a person to read
IllegalMonitorStateException.IllegalMonitorStateException(String)	Constructs an IllegalMonitorStateException with the specified detail message
Package.isSealed()	Returns true if this package is sealed
Long.byteValue()	Returns the value of this Long as a byte
VolatileCallSite.dynamicInvoker()	Produces a method handle equivalent to an invokedynamic instruction which has been linked to this call site
ArrayIndexOutOfBoundsException.ArrayIndexOutOfBoundsException(int)	Constructs a new ArrayIndexOutOfBoundsException class with an argument indicating the illegal index
Float.Float(String)	Constructs a newly allocated Float object that represents the floating point value of type float represented by the string The string is converted to a float value as if by the valueOf method
Class.isPrimitive()	Determines if the specified Class object represents a primitive type
StackTraceElement.toString()	Returns a string representation of this stack trace element The format of this string depends on the implementation but the following examples may be regarded as typical MyClass mash MyClass java 9 Here MyClass is the fully qualified name of the class containing the execution point represented by this stack trace element mash is the name of the method containing the execution point MyClass java is the source file containing the execution point and 9 is the line number of the source line containing the execution point
Character.isIdeographic(int)	Determines if the specified character Unicode code point is a CJKV Chinese Japanese Korean and Vietnamese ideograph as defined by the Unicode Standard
ReflectPermission.ReflectPermission(String,String)	Constructs a ReflectPermission with the specified name and actions
StringBuffer.substring(int,int)	Returns a new String that contains a subsequence of characters currently contained in this sequence The substring begins at the specified start and extends to the character at index end 1
Integer.numberOfTrailingZeros(int)	Returns the number of zero bits following the lowest order rightmost one bit in the two s complement binary representation of the specified int value Returns 32 if the specified value has no one bits in its two s complement representation in other words if it is equal to zero
String.String(StringBuilder)	Allocates a new string that contains the sequence of characters currently contained in the string builder argument The contents of the string builder are copied subsequent modification of the string builder does not affect the newly created string
ReflectiveOperationException.ReflectiveOperationException(String,Throwable)	Constructs a new exception with the specified detail message and cause
SecurityManager.checkCreateClassLoader()	Throws a SecurityException if the calling thread is not allowed to create a new class loader
Float.isNaN()	Returns true if this Float value is a Not a Number NaN false otherwise
Short.byteValue()	Returns the value of this Short as a byte
Short.equals(Object)	Compares this object to the specified object The result is true if and only if the argument is not null and is a Short object that contains the same short value as this object
Float.longValue()	Returns value of this Float as a long by casting to type long
RuntimePermission.RuntimePermission(String,String)	Creates a new RuntimePermission object with the specified name
IllegalAccessError.IllegalAccessError(String)	Constructs an IllegalAccessError with the specified detail message
MemoryMXBean.getObjectPendingFinalizationCount()	Returns the approximate number of objects for which finalization is pending
ExceptionInInitializerError.ExceptionInInitializerError(Throwable)	Constructs a new ExceptionInInitializerError class by saving a reference to the Throwable object thrown for later retrieval by the getException method The detail message string is set to null
Modifier.Modifier()	
Annotation.annotationType()	Returns the annotation type of this annotation
Byte.parseByte(String)	Parses the string argument as a signed decimal byte The characters in the string must all be decimal digits except that the first character may be an ASCII minus sign u002D to indicate a negative value or an ASCII plus sign u002B to indicate a positive value The resulting byte value is returned exactly as if the argument and the radix 10 were given as arguments to the parseByte java lang String int method
ExceptionInInitializerError.getException()	Returns the exception that occurred during a static initialization that caused this error to be created
AssertionError.AssertionError(float)	Constructs an AssertionError with its detail message derived from the specified float which is converted to a string as defined in section 15 18 1 1 of The Java Language Specification
System.runFinalization()	Runs the finalization methods of any objects pending finalization
ReflectPermission.ReflectPermission(String)	Constructs a ReflectPermission with the specified name
Short.hashCode()	Returns a hash code for this Short equal to the result of invoking intValue
Method.getTypeParameters()	Returns an array of TypeVariable objects that represent the type variables declared by the generic declaration represented by this GenericDeclaration object in declaration order Returns an array of length 0 if the underlying generic declaration declares no type variables
StringBuilder.append(String)	Appends the specified string to this character sequence
AnnotatedElement.getDeclaredAnnotations()	Returns all annotations that are directly present on this element Unlike the other methods in this interface this method ignores inherited annotations Returns an array of length zero if no annotations are directly present on this element The caller of this method is free to modify the returned array it will have no effect on the arrays returned to other callers
SecurityManager.checkWrite(String)	Throws a SecurityException if the calling thread is not allowed to write to the file specified by the string argument
String.valueOf(Object)	Returns the string representation of the Object argument
ClassLoadingMXBean.isVerbose()	Tests if the verbose output for the class loading system is enabled
Short.Short(short)	Constructs a newly allocated Short object that represents the specified short value
RuntimeMXBean.getStartTime()	Returns the start time of the Java virtual machine in milliseconds
Double.valueOf(String)	Returns a Double object holding the double value represented by the argument string s
Long.toBinaryString(long)	Returns a string representation of the long argument as an unsigned integer in base 2
StringBuffer.codePointAt(int)	Returns the character Unicode code point at the specified index The index refers to char values Unicode code units and ranges from 0 to length 1
ProcessBuilder.Redirect.hashCode()	Returns a hash code value for this Redirect
Method.isSynthetic()	Returns true if this method is a synthetic method returns false otherwise
MethodHandles.Lookup.findSpecial(Class,String,MethodType,Class)	Produces an early bound method handle for a virtual method as if called from an invokespecial instruction from caller
Class.isAnnotation()	Returns true if this Class object represents an annotation type Note that if this method returns true isInterface would also return true as all annotation types are also interfaces
Thread.getPriority()	Returns this thread s priority
StringBuffer.insert(int,CharSequence)	Inserts the specified CharSequence into this sequence
ReflectiveOperationException.ReflectiveOperationException()	Constructs a new exception with null as its detail message The cause is not initialized and may subsequently be initialized by a call to Throwable initCause java lang Throwable
ThreadGroup.destroy()	Destroys this thread group and all of its subgroups This thread group must be empty indicating that all threads that had been in this thread group have since stopped
Byte.hashCode()	Returns a hash code for this Byte equal to the result of invoking intValue
Array.setDouble(Object,int,double)	Sets the value of the indexed component of the specified array object to the specified double value
Thread.Thread(Runnable,String)	Allocates a new Thread object This constructor has the same effect as Thread null target name
ReferenceQueue.remove(long)	Removes the next reference object in this queue blocking until either one becomes available or the given timeout period expires
StrictMath.max(long,long)	Returns the greater of two long values That is the result is the argument closer to the value of Long MAX VALUE If the arguments have the same value the result is that same value
Field.getBoolean(Object)	Gets the value of a static or instance boolean field
String.String(byte[],int)	Allocates a new String containing characters constructed from an array of 8 bit integer values Each character cin the resulting string is constructed from the corresponding component b in the byte array such that c char hibyte 0xff 8 b 0xff
StringBuffer.append(Object)	Appends the string representation of the Object argument
StringBuilder.delete(int,int)	Removes the characters in a substring of this sequence
Thread.toString()	Returns a string representation of this thread including the thread s name priority and thread group
ProcessBuilder.redirectError(Redirect)	Sets this process builder s standard error destination
String.indexOf(int,int)	Returns the index within this string of the first occurrence of the specified character starting the search at the specified index
ProcessBuilder.redirectOutput()	Returns this process builder s standard output destination
ThreadInfo.getThreadName()	Returns the name of the thread associated with this ThreadInfo
Array.getDouble(Object,int)	Returns the value of the indexed component in the specified array object as a double
CompilationMXBean.getName()	Returns the name of the Just in time JIT compiler
OperatingSystemMXBean.getSystemLoadAverage()	Returns the system load average for the last minute
Character.isDefined(int)	Determines if a character Unicode code point is defined in Unicode
String.String(byte[],int,int,String)	Constructs a new String by decoding the specified subarray of bytes using the specified charset The length of the new String is a function of the charset and hence may not be equal to the length of the subarray
ProcessBuilder.ProcessBuilder(List)	Constructs a process builder with the specified operating system program and arguments This constructor does not make a copy of the command list Subsequent updates to the list will be reflected in the state of the process builder It is not checked whether command corresponds to a valid operating system command
Proxy.getProxyClass(ClassLoader,Class)	Returns the java lang Class object for a proxy class given a class loader and an array of interfaces The proxy class will be defined by the specified class loader and will implement all of the supplied interfaces If a proxy class for the same permutation of interfaces has already been defined by the class loader then the existing proxy class will be returned otherwise a proxy class for those interfaces will be generated dynamically and defined by the class loader
Number.intValue()	Returns the value of the specified number as an int
Math.max(long,long)	Returns the greater of two long values That is the result is the argument closer to the value of Long MAX VALUE If the arguments have the same value the result is that same value
String.toUpperCase()	Converts all of the characters in this String to upper case using the rules of the default locale This method is equivalent to toUpperCase Locale getDefault
OperatingSystemMXBean.getVersion()	Returns the operating system version
MutableCallSite.MutableCallSite(MethodType)	Creates a blank call site object with the given method type
String.getBytes()	Encodes this String into a sequence of bytes using the platform s default charset storing the result into a new byte array
Float.intBitsToFloat(int)	Returns the float value corresponding to a given bit representation
StringBuffer.append(char[])	Appends the string representation of the char array argument to this sequence
UnsupportedOperationException.UnsupportedOperationException()	Constructs an UnsupportedOperationException with no detail message
NoSuchFieldError.NoSuchFieldError(String)	Constructs a NoSuchFieldError with the specified detail message
ClassLoader.getSystemResources(String)	Finds all resources of the specified name from the search path used to load classes The resources thus found are returned as an Enumeration of URL objects
InvocationTargetException.getCause()	Returns the cause of this exception the thrown target exception which may be null
Exception.Exception(String,Throwable)	Constructs a new exception with the specified detail message and cause Note that the detail message associated with cause is not automatically incorporated in this exception s detail message
SecurityManager.checkAccess(Thread)	Throws a SecurityException if the calling thread is not allowed to modify the thread argument
IncompleteAnnotationException.IncompleteAnnotationException(Class,String)	Constructs an IncompleteAnnotationException to indicate that the named element was missing from the specified annotation type
Math.toRadians(double)	Converts an angle measured in degrees to an approximately equivalent angle measured in radians The conversion from degrees to radians is generally inexact
Object.equals(Object)	Indicates whether some other object is equal to this one
NoSuchFieldException.NoSuchFieldException(String)	Constructor with a detail message
ClassLoadingMXBean.setVerbose(boolean)	Enables or disables the verbose output for the class loading system The verbose output information and the output stream to which the verbose information is emitted are implementation dependent Typically a Java virtual machine implementation prints a message each time a class file is loaded
Character.digit(char,int)	Returns the numeric value of the character ch in the specified radix
EnumConstantNotPresentException.EnumConstantNotPresentException(Class,String)	Constructs an EnumConstantNotPresentException for the specified constant
ThreadInfo.getLockedMonitors()	Returns an array of MonitorInfo objects each of which represents an object monitor currently locked by the thread associated with this ThreadInfo
PlatformLoggingMXBean.getLoggerLevel(String)	Gets the name of the log level associated with the specified logger
Math.abs(float)	Returns the absolute value of a float value
Error.Error()	Constructs a new error with null as its detail message
ReferenceQueue.remove()	Removes the next reference object in this queue blocking until one becomes available
Byte.compareTo(Byte)	Compares two Byte objects numerically
AnnotationFormatError.AnnotationFormatError(String,Throwable)	Constructs a new AnnotationFormatError with the specified detail message and cause Note that the detail message associated with cause is not automatically incorporated in this error s detail message
ManagementFactory.getThreadMXBean()	Returns the managed bean for the thread system of the Java virtual machine
Array.setShort(Object,int,short)	Sets the value of the indexed component of the specified array object to the specified short value
System.getenv()	Returns an unmodifiable string map view of the current system environment
StringBuilder.insert(int,boolean)	Inserts the string representation of the boolean argument into this sequence
TypeVariable.getBounds()	Returns an array of Type objects representing the upper bound s of this type variable Note that if no upper bound is explicitly declared the upper bound is Object
Thread.getId()	Returns the identifier of this Thread The thread ID is a positive long number generated when this thread was created
ThreadGroup.setDaemon(boolean)	Changes the daemon status of this thread group
Float.isNaN(float)	Returns true if the specified number is a Not a Number NaN value false otherwise
StrictMath.nextAfter(double,double)	Returns the floating point number adjacent to the first argument in the direction of the second argument If both arguments compare as equal the second argument is returned
Array.newInstance(Class,int)	Creates a new array with the specified component type and length
StringBuilder.StringBuilder()	Constructs a string builder with no characters in it and an initial capacity of 16 characters
ManagementFactory.getMemoryMXBean()	Returns the managed bean for the memory system of the Java virtual machine
String.codePointCount(int,int)	Returns the number of Unicode code points in the specified text range of this String The text range begins at the specified beginIndex and extends to the char at index endIndex 1 Thus the length in chars of the text range is endIndex beginIndex Unpaired surrogates within the text range count as one code point each
SecurityManager.checkAccept(String,int)	Throws a SecurityException if the calling thread is not permitted to accept a socket connection from the specified host and port number
Method.equals(Object)	Compares this Method against the specified object Returns true if the objects are the same Two Methods are the same if they were declared by the same class and have the same name and formal parameter types and return type
Float.toString()	Returns a string representation of this Float object
ParameterizedType.getRawType()	Returns the Type object representing the class or interface that declared this type
Package.getDeclaredAnnotations()	Description copied from interface AnnotatedElement
StrictMath.max(double,double)	Returns the greater of two double values That is the result is the argument closer to positive infinity If the arguments have the same value the result is that same value If either value is NaN then the result is NaN Unlike the numerical comparison operators this method considers negative zero to be strictly smaller than positive zero If one argument is positive zero and the other negative zero the result is positive zero
Character.isSpaceChar(char)	Determines if the specified character is a Unicode space character
String.indexOf(int)	Returns the index within this string of the first occurrence of the specified character If a character with value ch occurs in the character sequence represented by this String object then the index in Unicode code units of the first such occurrence is returned For values of ch in the range from 0 to 0xFFFF inclusive this is the smallest value k such that this charAt k ch is true For other values of ch it is the smallest value k such that this codePointAt k ch is true In either case if no such character occurs in this string then 1 is returned
Method.isVarArgs()	Returns true if this method was declared to take a variable number of arguments returns false otherwise
AnnotationTypeMismatchException.AnnotationTypeMismatchException(Method,String)	Constructs an AnnotationTypeMismatchException for the specified annotation type element and found data type
Field.getGenericType()	Returns a Type object that represents the declared type for the field represented by this Field object
System.identityHashCode(Object)	Returns the same hash code for the given object as would be returned by the default method hashCode whether or not the given object s class overrides hashCode
Long.intValue()	Returns the value of this Long as an int
StrictMath.nextUp(float)	Returns the floating point value adjacent to f in the direction of positive infinity This method is semantically equivalent to nextAfter f Float POSITIVE INFINITY however a nextUp implementation may run faster than its equivalent nextAfter call
Runtime.maxMemory()	Returns the maximum amount of memory that the Java virtual machine will attempt to use If there is no inherent limit then the value Long MAX VALUE will be returned
Member.getDeclaringClass()	Returns the Class object representing the class or interface that declares the member or constructor represented by this Member
StringBuilder.length()	Returns the length character count
MemoryPoolMXBean.getUsageThreshold()	Returns the usage threshold value of this memory pool in bytes
Modifier.isNative(int)	Return true if the integer argument includes the native modifier false otherwise
Modifier.constructorModifiers()	Return an int value OR ing together the source language modifiers that can be applied to a constructor
ManagementFactory.getPlatformMBeanServer()	Returns the platform MBeanServer
MethodHandles.permuteArguments(MethodHandle,MethodType,)	Produces a method handle which adapts the calling sequence of the given method handle to a new type by reordering the arguments
StringBuilder.substring(int)	Returns a new String that contains a subsequence of characters currently contained in this character sequence The substring begins at the specified index and extends to the end of this sequence
AutoCloseable.close()	Closes this resource relinquishing any underlying resources
Short.decode(String)	Decodes a String into a Short
String.toLowerCase()	Converts all of the characters in this String to lower case using the rules of the default locale This is equivalent to calling toLowerCase Locale getDefault
AssertionError.AssertionError(Object)	Constructs an AssertionError with its detail message derived from the specified object which is converted to a string as defined in section 15 18 1 1 of The Java Language Specification
PhantomReference.get()	Returns this reference object s referent Because the referent of a phantom reference is always inaccessible this method always returns null
Throwable.printStackTrace(PrintWriter)	Prints this throwable and its backtrace to the specified print writer
Math.random()	Returns a double value with a positive sign greater than or equal to 0 0 and less than 1 0
Thread.Thread(Runnable)	Allocates a new Thread object This constructor has the same effect as Thread null target gname where gname is a newly generated name Automatically generated names are of the form Thread n where n is an integer
Instrumentation.getAllLoadedClasses()	Returns an array of all classes currently loaded by the JVM
Proxy.getInvocationHandler(Object)	Returns the invocation handler for the specified proxy instance
BootstrapMethodError.BootstrapMethodError()	Constructs a BootstrapMethodError with no detail message
TypeVariable.getName()	Returns the name of this type variable as it occurs in the source code
MemoryPoolMXBean.getCollectionUsageThresholdCount()	Returns the number of times that the Java virtual machine has detected that the memory usage has reached or exceeded the collection usage threshold
ProcessBuilder.Redirect.file()	Returns the File source or destination associated with this redirect or null if there is no such file
StringBuilder.append(double)	Appends the string representation of the double argument to this sequence
TypeNotPresentException.typeName()	Returns the fully qualified name of the unavailable type
MemoryUsage.getCommitted()	Returns the amount of memory in bytes that is committed for the Java virtual machine to use This amount of memory is guaranteed for the Java virtual machine to use
StringBuilder.insert(int,CharSequence,int,int)	Inserts a subsequence of the specified CharSequence into this sequence
Character.getNumericValue(int)	Returns the int value that the specified character Unicode code point represents For example the character u216C the Roman numeral fifty will return an int with a value of 50
Thread.run()	If this thread was constructed using a separate Runnable run object then that Runnable object s run method is called otherwise this method does nothing and returns
String.indexOf(String,int)	Returns the index within this string of the first occurrence of the specified substring starting at the specified index
MethodType.changeParameterType(int,Class)	Finds or creates a method type with a single different parameter type
RuntimeMXBean.getVmVendor()	Returns the Java virtual machine implementation vendor
ProcessBuilder.Redirect.appendTo(File)	Returns a redirect to append to the specified file
StringBuffer.insert(int,Object)	Inserts the string representation of the Object argument into this character sequence
Character.isUnicodeIdentifierStart(int)	Determines if the specified character Unicode code point is permissible as the first character in a Unicode identifier
Method.getGenericParameterTypes()	Returns an array of Type objects that represent the formal parameter types in declaration order of the method represented by this Method object Returns an array of length 0 if the underlying method takes no parameters
SecurityException.SecurityException(String,Throwable)	Creates a SecurityException with the specified detail message and cause
VerifyError.VerifyError(String)	Constructs an VerifyError with the specified detail message
SecurityManager.checkPropertiesAccess()	Throws a SecurityException if the calling thread is not allowed to access or modify the system properties
Double.valueOf(double)	Returns a Double instance representing the specified double value
ThreadMXBean.getThreadCpuTime(long)	Returns the total CPU time for a thread of the specified ID in nanoseconds
String.lastIndexOf(int)	Returns the index within this string of the last occurrence of the specified character For values of ch in the range from 0 to 0xFFFF inclusive the index in Unicode code units returned is the largest value k such that this charAt k ch is true For other values of ch it is the largest value k such that this codePointAt k ch is true In either case if no such character occurs in this string then 1 is returned The String is searched backwards starting at the last character
Integer.signum(int)	Returns the signum function of the specified int value The return value is 1 if the specified value is negative 0 if the specified value is zero and 1 if the specified value is positive
Byte.Byte(byte)	Constructs a newly allocated Byte object that represents the specified byte value
MemoryPoolMXBean.getCollectionUsage()	Returns the memory usage after the Java virtual machine most recently expended effort in recycling unused objects in this memory pool
Modifier.isPrivate(int)	Return true if the integer argument includes the private modifier false otherwise
SecurityManager.getSecurityContext()	Creates an object that encapsulates the current execution environment The result of this method is used for example by the three argument checkConnect method and by the two argument checkRead method
Field.getModifiers()	Returns the Java language modifiers for the field represented by this Field object as an integer The Modifier class should be used to decode the modifiers
ThreadInfo.getThreadState()	Returns the state of the thread associated with this ThreadInfo
VolatileCallSite.getTarget()	Returns the target method of the call site which behaves like a volatile field of the VolatileCallSite
Double.toString()	Returns a string representation of this Double object
MethodType.dropParameterTypes(int,int)	Finds or creates a method type with some parameter types omitted
StrictMath.floor(double)	Returns the largest closest to positive infinity double value that is less than or equal to the argument and is equal to a mathematical integer Special cases If the argument value is already equal to a mathematical integer then the result is the same as the argument If the argument is NaN or an infinity or positive zero or negative zero then the result is the same as the argument
StringBuffer.StringBuffer(int)	Constructs a string buffer with no characters in it and the specified initial capacity
StringBuilder.toString()	Returns a string representing the data in this sequence
String.toCharArray()	Converts this string to a new character array
Enum.valueOf(Class,String)	Returns the enum constant of the specified enum type with the specified name The name must match exactly an identifier used to declare an enum constant in this type Extraneous whitespace characters are not permitted Note that for a particular enum type T the implicitly declared public static T valueOf String method on that enum may be used instead of this method to map from a name to the corresponding enum constant All the constants of an enum type can be obtained by calling the implicit public static T values method of that type
ThreadGroup.enumerate(Thread[])	Copies into the specified array every active thread in this thread group and its subgroups
InvocationTargetException.InvocationTargetException(Throwable,String)	Constructs a InvocationTargetException with a target exception and a detail message
StringIndexOutOfBoundsException.StringIndexOutOfBoundsException()	Constructs a StringIndexOutOfBoundsException with no detail message
MethodType.appendParameterTypes(List)	Finds or creates a method type with additional parameter types
Field.setLong(Object,long)	Sets the value of a field as a long on the specified object
Method.getDefaultValue()	Returns the default value for the annotation member represented by this Method instance If the member is of a primitive type an instance of the corresponding wrapper type is returned Returns null if no default is associated with the member or if the method instance does not represent a declared member of an annotation type
MethodType.methodType(Class,MethodType)	Finds or creates a method type with the given components
Long.rotateLeft(long,int)	Returns the value obtained by rotating the two s complement binary representation of the specified long value left by the specified number of bits Bits shifted out of the left hand or high order side reenter on the right or low order Note that left rotation with a negative distance is equivalent to right rotation rotateLeft val distance rotateRight val distance Note also that rotation by any multiple of 64 is a no op so all but the last six bits of the rotation distance can be ignored even if the distance is negative rotateLeft val distance rotateLeft val distance 0x3F
Field.isEnumConstant()	Returns true if this field represents an element of an enumerated type returns false otherwise
Character.isSpace(char)	Determines if the specified character is ISO LATIN 1 white space
Float.isInfinite(float)	Returns true if the specified number is infinitely large in magnitude false otherwise
Character.Subset.equals(Object)	Compares two Subset objects for equality
Field.getShort(Object)	Gets the value of a static or instance field of type short or of another primitive type convertible to type short via a widening conversion
StackTraceElement.getFileName()	Returns the name of the source file containing the execution point represented by this stack trace element Generally this corresponds to the SourceFile attribute of the relevant class file as per The Java Virtual Machine Specification Section 4 7 7 In some systems the name may refer to some source code unit other than a file such as an entry in source repository
Byte.shortValue()	Returns the value of this Byte as a short
Double.parseDouble(String)	Returns a new double initialized to the value represented by the specified String as performed by the valueOf method of class Double
CallSite.dynamicInvoker()	Produces a method handle equivalent to an invokedynamic instruction which has been linked to this call site
MethodHandle.invokeWithArguments()	Performs a variable arity invocation passing the arguments in the given array to the method handle as if via an inexact invoke from a call site which mentions only the type Object and whose arity is the length of the argument array
ProcessBuilder.redirectInput(Redirect)	Sets this process builder s standard input source
Field.setDouble(Object,double)	Sets the value of a field as a double on the specified object
Array.getBoolean(Object,int)	Returns the value of the indexed component in the specified array object as a boolean
UnsatisfiedLinkError.UnsatisfiedLinkError(String)	Constructs an UnsatisfiedLinkError with the specified detail message
Field.getName()	Returns the name of the field represented by this Field object
Integer.longValue()	Returns the value of this Integer as a long
MethodType.parameterList()	Presents the parameter types as a list a convenience method
StringBuilder.append(CharSequence)	Description copied from interface Appendable
OperatingSystemMXBean.getAvailableProcessors()	Returns the number of processors available to the Java virtual machine
Thread.setName(String)	Changes the name of this thread to be equal to the argument name
String.valueOf(char[])	Returns the string representation of the char array argument The contents of the character array are copied subsequent modification of the character array does not affect the newly created string
Character.isJavaIdentifierStart(int)	Determines if the character Unicode code point is permissible as the first character in a Java identifier
ClassCircularityError.ClassCircularityError()	Constructs a ClassCircularityError with no detail message
Enum.name()	Returns the name of this enum constant exactly as declared in its enum declaration
Constructor.newInstance()	Uses the constructor represented by this Constructor object to create and initialize a new instance of the constructor s declaring class with the specified initialization parameters
Proxy.isProxyClass(Class)	Returns true if and only if the specified class was dynamically generated to be a proxy class using the getProxyClass method or the newProxyInstance method
ExceptionInInitializerError.ExceptionInInitializerError(String)	Constructs an ExceptionInInitializerError with the specified detail message string A detail message is a String that describes this particular exception The detail message string is saved for later retrieval by the Throwable getMessage method There is no saved throwable object
StackTraceElement.equals(Object)	Returns true if the specified object is another StackTraceElement instance representing the same execution point as this instance Two stack trace elements a and b are equal if and only if equals a getFileName b getFileName a getLineNumber b getLineNumber equals a getClassName b getClassName equals a getMethodName b getMethodName where equals has the semantics of Objects equals
Byte.toString()	Returns a String object representing this Byte s value The value is converted to signed decimal representation and returned as a string exactly as if the byte value were given as an argument to the toString byte method
ThreadInfo.getBlockedTime()	Returns the approximate accumulated elapsed time in milliseconds that the thread associated with this ThreadInfo has blocked to enter or reenter a monitor since thread contention monitoring is enabled
StringBuffer.deleteCharAt(int)	Removes the char at the specified position in this sequence This sequence is shortened by one char
StrictMath.log1p(double)	Returns the natural logarithm of the sum of the argument and 1
ProcessBuilder.command(List)	Sets this process builder s operating system program and arguments This method does not make a copy of the command list Subsequent updates to the list will be reflected in the state of the process builder It is not checked whether command corresponds to a valid operating system command
StringBuffer.trimToSize()	Attempts to reduce storage used for the character sequence
ParameterizedType.getOwnerType()	Returns a Type object representing the type that this type is a member of For example if this type is O T I S return a representation of O T
Method.hashCode()	Returns a hashcode for this Method The hashcode is computed as the exclusive or of the hashcodes for the underlying method s declaring class name and the method s name
StrictMath.exp(double)	Returns Euler s number e raised to the power of a double value Special cases If the argument is NaN the result is NaN
Runtime.removeShutdownHook(Thread)	De registers a previously registered virtual machine shutdown hook
Method.getModifiers()	Returns the Java language modifiers for the method represented by this Method object as an integer The Modifier class should be used to decode the modifiers
Thread.stop()	Forces the thread to stop executing
SecurityManager.checkDelete(String)	Throws a SecurityException if the calling thread is not allowed to delete the specified file
ThreadGroup.ThreadGroup(String)	Constructs a new thread group The parent of this new group is the thread group of the currently running thread
Float.compare(float,float)	Compares the two specified float values The sign of the integer value returned is the same as that of the integer that would be returned by the call new Float f1 compareTo new Float f2
Character.Subset.hashCode()	Returns the standard hash code as defined by the Object hashCode method This method is final in order to ensure that the equals and hashCode methods will be consistent in all subclasses
String.valueOf(char[],int,int)	Returns the string representation of a specific subarray of the char array argument
Compiler.disable()	Cause the Compiler to cease operation
StrictMath.round(double)	Returns the closest long to the argument with ties rounding up
CharSequence.charAt(int)	Returns the char value at the specified index An index ranges from zero to length 1 The first char value of the sequence is at index zero the next at index one and so on as for array indexing If the char value specified by the index is a surrogate the surrogate value is returned
Enum.hashCode()	Returns a hash code for this enum constant
MethodType.equals(Object)	Compares the specified object with this type for equality
Float.floatToIntBits(float)	Returns a representation of the specified floating point value according to the IEEE 754 floating point single format bit layout
Thread.isDaemon()	Tests if this thread is a daemon thread
SecurityManager.SecurityManager()	Constructs a new SecurityManager
Character.isLetterOrDigit(int)	Determines if the specified character Unicode code point is a letter or digit
MethodHandles.throwException(Class,Class)	Produces a method handle which will throw exceptions of the given exType
Integer.getInteger(String,int)	Determines the integer value of the system property with the specified name
MemoryPoolMXBean.getCollectionUsageThreshold()	Returns the collection usage threshold value of this memory pool in bytes The default value is zero The collection usage threshold can be changed via the setCollectionUsageThreshold method
StringBuilder.codePointCount(int,int)	Returns the number of Unicode code points in the specified text range of this sequence The text range begins at the specified beginIndex and extends to the char at index endIndex 1 Thus the length in chars of the text range is endIndex beginIndex Unpaired surrogates within this sequence count as one code point each
Character.hashCode()	Returns a hash code for this Character equal to the result of invoking charValue
Long.valueOf(String)	Returns a Long object holding the value of the specified String The argument is interpreted as representing a signed decimal long exactly as if the argument were given to the parseLong java lang String method The result is a Long object that represents the integer value specified by the string
