ConcurrentLinkedDeque.ConcurrentLinkedDeque()	Constructs an empty deque
Locale.getDisplayVariant(Locale)	Returns a name for the locale s variant code that is appropriate for display to the user If possible the name will be localized for inLocale If the locale doesn t specify a variant code this function returns the empty string
Arrays.fill(char[],int,int,char)	Assigns the specified char value to each element of the specified range of the specified array of chars The range to be filled extends from index fromIndex inclusive to index toIndex exclusive If fromIndex toIndex the range to be filled is empty
LogRecord.setThreadID(int)	Set an identifier for the thread where the message originated
Map.remove(Object)	Removes the mapping for a key from this map if it is present optional operation More formally if this map contains a mapping from key k to value v such that key null k null key equals k that mapping is removed The map can contain at most one such mapping Returns the value to which this map previously associated the key or null if the map contained no mapping for the key
Logger.getParent()	Return the parent for this Logger
Vector.get(int)	Returns the element at the specified position in this Vector
Arrays.fill(double[],double)	Assigns the specified double value to each element of the specified array of doubles
Inflater.needsDictionary()	Returns true if a preset dictionary is needed for decompression
Scanner.hasNext(String)	Returns true if the next token matches the pattern constructed from the specified string The scanner does not advance past any input
AbstractQueuedLongSynchronizer.tryAcquireNanos(long,long)	Attempts to acquire in exclusive mode aborting if interrupted and failing if the given timeout elapses Implemented by first checking interrupt status then invoking at least once tryAcquire long returning on success Otherwise the thread is queued possibly repeatedly blocking and unblocking invoking tryAcquire long until success or the thread is interrupted or the timeout elapses This method can be used to implement method Lock tryLock long TimeUnit
ZipInputStream.read(byte[],int,int)	Reads from the current ZIP entry into an array of bytes
ArrayDeque.removeLastOccurrence(Object)	Removes the last occurrence of the specified element in this deque when traversing the deque from head to tail
AbstractList.equals(Object)	Compares the specified object with this list for equality Returns true if and only if the specified object is also a list both lists have the same size and all corresponding pairs of elements in the two lists are equal Two elements e1 and e2 are equal if e1 null e2 null e1 equals e2 In other words two lists are defined to be equal if they contain the same elements in the same order
ZipEntry.isDirectory()	Returns true if this is a directory entry A directory entry is defined to be one whose name ends with a
Collections.swap(List,int,int)	Swaps the elements at the specified positions in the specified list
ConcurrentModificationException.ConcurrentModificationException(Throwable)	Constructs a new exception with the specified cause and a detail message of cause null null cause toString which typically contains the class and detail message of cause
ConcurrentLinkedQueue.iterator()	Returns an iterator over the elements in this queue in proper sequence
Arrays.hashCode(float[])	Returns a hash code based on the contents of the specified array
AbstractQueuedLongSynchronizer.hasContended()	Queries whether any threads have ever contended to acquire this synchronizer that is if an acquire method has ever blocked
AtomicReferenceFieldUpdater.get(T)	Gets the current value held in the field of the given object managed by this updater
Logger.info(String)	Log an INFO message
InflaterInputStream.available()	Returns 0 after EOF has been reached otherwise always return 1
Locale.getUnicodeLocaleKeys()	Returns the set of Unicode locale keys defined by this locale or the empty set if this locale has none The returned set is immutable Keys are all lower case
JarInputStream.getNextEntry()	Reads the next ZIP file entry and positions the stream at the beginning of the entry data If verification has been enabled any invalid signature detected while positioning the stream for the next entry will result in an exception
SimpleTimeZone.getOffset(long)	Returns the offset of this time zone from UTC at the given time If daylight saving time is in effect at the given time the offset value is adjusted with the amount of daylight saving
ConsoleHandler.publish(LogRecord)	Publish a LogRecord
Handler.setEncoding(String)	Set the character encoding used by this Handler
List.size()	Returns the number of elements in this list If this list contains more than Integer MAX VALUE elements returns Integer MAX VALUE
Arrays.copyOfRange(float[],int,int)	Copies the specified range of the specified array into a new array
ReentrantReadWriteLock.getReadHoldCount()	Queries the number of reentrant read holds on this lock by the current thread A reader thread has a hold on a lock for each lock action that is not matched by an unlock action
ConcurrentLinkedDeque.toArray(T[])	Returns an array containing all of the elements in this deque in proper sequence from first to last element the runtime type of the returned array is that of the specified array If the deque fits in the specified array it is returned therein
Arrays.copyOf(long[],int)	Copies the specified array truncating or padding with zeros if necessary so the copy has the specified length For all indices that are valid in both the original array and the copy the two arrays will contain identical values For any indices that are valid in the copy but not the original the copy will contain 0L
Observable.deleteObserver(Observer)	Deletes an observer from the set of observers of this object
CopyOnWriteArrayList.addAllAbsent(Collection)	Appends all of the elements in the specified collection that are not already contained in this list to the end of this list in the order that they are returned by the specified collection s iterator
ArrayBlockingQueue.poll(long,TimeUnit)	Description copied from interface BlockingQueue
AbstractQueuedLongSynchronizer.acquireSharedInterruptibly(long)	Acquires in shared mode aborting if interrupted Implemented by first checking interrupt status then invoking at least once tryAcquireShared long returning on success Otherwise the thread is queued possibly repeatedly blocking and unblocking invoking tryAcquireShared long until success or the thread is interrupted
Timer.scheduleAtFixedRate(TimerTask,long,long)	Schedules the specified task for repeated fixed rate execution beginning after the specified delay Subsequent executions take place at approximately regular intervals separated by the specified period
Locale.getDisplayScript()	Returns a name for the the locale s script that is appropriate for display to the user If possible the name will be localized for the default locale Returns the empty string if this locale doesn t specify a script code
ZipOutputStream.finish()	Finishes writing the contents of the ZIP output stream without closing the underlying stream Use this method when applying multiple filters in succession to the same output stream
Scanner.hasNextLong()	Returns true if the next token in this scanner s input can be interpreted as a long value in the default radix using the nextLong method The scanner does not advance past any input
ConcurrentSkipListMap.ConcurrentSkipListMap(Map)	Constructs a new map containing the same mappings as the given map sorted according to the natural ordering of the keys
PriorityBlockingQueue.peek()	Description copied from interface Queue
ArrayDeque.peekLast()	Description copied from interface Deque
DelayQueue.iterator()	Returns an iterator over all the elements both expired and unexpired in this queue The iterator does not return the elements in any particular order
AtomicStampedReference.set(V,int)	Unconditionally sets the value of both the reference and stamp
Calendar.compareTo(Calendar)	Compares the time values millisecond offsets from the Epoch represented by two Calendar objects
Scanner.Scanner(File,String)	Constructs a new Scanner that produces values scanned from the specified file Bytes from the file are converted into characters using the specified charset
PriorityQueue.poll()	Description copied from interface Queue
SortedSet.last()	Returns the last highest element currently in this set
AbstractCollection.remove(Object)	Removes a single instance of the specified element from this collection if it is present optional operation More formally removes an element e such that o null e null o equals e if this collection contains one or more such elements Returns true if this collection contained the specified element or equivalently if this collection changed as a result of the call
ThreadPoolExecutor.setRejectedExecutionHandler(RejectedExecutionHandler)	Sets a new handler for unexecutable tasks
ForkJoinPool.submit(Runnable,T)	Description copied from interface ExecutorService
ConcurrentNavigableMap.subMap(K,K)	Description copied from interface NavigableMap
LinkedList.lastIndexOf(Object)	Returns the index of the last occurrence of the specified element in this list or 1 if this list does not contain the element
ArrayList.listIterator()	Returns a list iterator over the elements in this list in proper sequence
Arrays.hashCode(int[])	Returns a hash code based on the contents of the specified array
MissingFormatWidthException.getMessage()	Description copied from class Throwable
InflaterInputStream.skip(long)	Skips specified number of bytes of uncompressed data
ConcurrentSkipListSet.higher(E)	Description copied from interface NavigableSet
FileHandler.FileHandler(String,int,int)	Initialize a FileHandler to write to a set of files When approximately the given limit has been written to one file another file will be opened The output will cycle through a set of count files
Set.removeAll(Collection)	Removes from this set all of its elements that are contained in the specified collection optional operation If the specified collection is also a set this operation effectively modifies this set so that its value is the asymmetric set difference of the two sets
DeflaterInputStream.DeflaterInputStream(InputStream,Deflater,int)	Creates a new input stream with the specified compressor and buffer size
ScheduledThreadPoolExecutor.ScheduledThreadPoolExecutor(int,ThreadFactory)	Creates a new ScheduledThreadPoolExecutor with the given initial parameters
NavigableMap.navigableKeySet()	Returns a NavigableSet view of the keys contained in this map
Phaser.Phaser(Phaser)	Equivalent to Phaser parent 0
ForkJoinTask.join()	Returns the result of the computation when it is done This method differs from get in that abnormal completion results in RuntimeException or Error not ExecutionException and that interrupts of the calling thread do not cause the method to abruptly return by throwing InterruptedException
Map.Entry.equals(Object)	Compares the specified object with this entry for equality
DataFormatException.DataFormatException()	Constructs a DataFormatException with no detail message
ConcurrentSkipListMap.subMap(K,K)	Description copied from interface NavigableMap
Executors.newSingleThreadExecutor(ThreadFactory)	Creates an Executor that uses a single worker thread operating off an unbounded queue and uses the provided ThreadFactory to create a new thread when needed Unlike the otherwise equivalent newFixedThreadPool 1 threadFactory the returned executor is guaranteed not to be reconfigurable to use additional threads
ZipInputStream.ZipInputStream(InputStream)	Creates a new ZIP input stream
ExecutorCompletionService.take()	Description copied from interface CompletionService
LinkedTransferQueue.peek()	Description copied from interface Queue
DeflaterOutputStream.flush()	Flushes the compressed output stream
PriorityBlockingQueue.add(E)	Inserts the specified element into this priority queue
TreeMap.pollFirstEntry()	Description copied from interface NavigableMap
ArrayDeque.push(E)	Pushes an element onto the stack represented by this deque In other words inserts the element at the front of this deque
Phaser.register()	Adds a new unarrived party to this phaser If an ongoing invocation of onAdvance int int is in progress this method may await its completion before returning If this phaser has a parent and this phaser previously had no registered parties this child phaser is also registered with its parent If this phaser is terminated the attempt to register has no effect and a negative value is returned
WeakHashMap.entrySet()	Returns a Set view of the mappings contained in this map
UUID.version()	The version number associated with this UUID The version number describes how this UUID was generated
Deque.iterator()	Returns an iterator over the elements in this deque in proper sequence
AtomicReferenceFieldUpdater.weakCompareAndSet(T,V,V)	Atomically sets the field of the given object managed by this updater to the given updated value if the current value the expected value This method is guaranteed to be atomic with respect to other calls to compareAndSet and set but not necessarily with respect to other changes in the field
IllegalFormatCodePointException.getMessage()	Description copied from class Throwable
ConcurrentSkipListMap.replace(K,V,V)	Replaces the entry for a key only if currently mapped to a given value
InflaterInputStream.read(byte[],int,int)	Reads uncompressed data into an array of bytes If len is not zero the method will block until some input can be decompressed otherwise no bytes are read and 0 is returned
ConcurrentHashMap.ConcurrentHashMap(Map)	Creates a new map with the same mappings as the given map
LinkedBlockingDeque.size()	Returns the number of elements in this deque
Inflater.setDictionary(byte[],int,int)	Sets the preset dictionary to the given array of bytes Should be called when inflate returns 0 and needsDictionary returns true indicating that a preset dictionary is required The method getAdler can be used to get the Adler 32 value of the dictionary needed
ConcurrentHashMap.clear()	Removes all of the mappings from this map
Lock.newCondition()	Returns a new Condition instance that is bound to this Lock instance
ForkJoinPool.submit(Callable)	Description copied from interface ExecutorService
ExecutorService.isShutdown()	Returns true if this executor has been shut down
AbstractMap.putAll(Map)	Copies all of the mappings from the specified map to this map optional operation The effect of this call is equivalent to that of calling put k v on this map once for each mapping from key k to value v in the specified map The behavior of this operation is undefined if the specified map is modified while the operation is in progress
CountDownLatch.countDown()	Decrements the count of the latch releasing all waiting threads if the count reaches zero
AtomicLong.addAndGet(long)	Atomically adds the given value to the current value
Logger.entering(String,String,Object[])	Log a method entry with an array of parameters
IdentityHashMap.IdentityHashMap(Map)	Constructs a new identity hash map containing the keys value mappings in the specified map
GZIPOutputStream.write(byte[],int,int)	Writes array of bytes to the compressed output stream This method will block until all the bytes are written
Scanner.hasNextBigInteger(int)	Returns true if the next token in this scanner s input can be interpreted as a BigInteger in the specified radix using the nextBigInteger method The scanner does not advance past any input
Timer.cancel()	Terminates this timer discarding any currently scheduled tasks
AbstractSequentialList.iterator()	Returns an iterator over the elements in this list in proper sequence
LinkedBlockingDeque.peek()	Description copied from interface BlockingDeque
Deque.getFirst()	Retrieves but does not remove the first element of this deque
EnumMap.EnumMap(EnumMap)	Creates an enum map with the same key type as the specified enum map initially containing the same mappings if any
Matcher.toString()	Returns the string representation of this matcher The string representation of a Matcher contains information that may be useful for debugging The exact format is unspecified
AtomicReferenceFieldUpdater.newUpdater(Class,Class,String)	Creates and returns an updater for objects with the given field
Attributes.getValue(String)	Returns the value of the specified attribute name specified as a string or null if the attribute was not found The attribute name is case insensitive
UUID.UUID(long,long)	Constructs a new UUID using the specified data mostSigBits is used for the most significant 64 bits of the UUID and leastSigBits becomes the least significant 64 bits of the UUID
Locale.Builder.clear()	Resets the builder to its initial empty state
ConcurrentSkipListMap.get(Object)	Returns the value to which the specified key is mapped or null if this map contains no mapping for the key
ZipInputStream.skip(long)	Skips specified number of bytes in the current ZIP entry
Logger.logp(Level,String,String,String,Object)	Log a message specifying source class and method with a single object parameter to the log message
ForkJoinPool.invokeAll(Collection)	Description copied from interface ExecutorService
ConcurrentLinkedQueue.remove(Object)	Removes a single instance of the specified element from this queue if it is present More formally removes an element e such that o equals e if this queue contains one or more such elements
Adler32.Adler32()	Creates a new Adler32 object
Enumeration.nextElement()	Returns the next element of this enumeration if this enumeration object has at least one more element to provide
Objects.deepEquals(Object,Object)	Returns true if the arguments are deeply equal to each other and false otherwise
BlockingQueue.remove(Object)	Removes a single instance of the specified element from this queue if it is present More formally removes an element e such that o equals e if this queue contains one or more such elements
AtomicIntegerArray.addAndGet(int,int)	Atomically adds the given value to the element at index i
LinkedBlockingDeque.LinkedBlockingDeque()	Creates a LinkedBlockingDeque with a capacity of Integer MAX VALUE
UUID.getMostSignificantBits()	Returns the most significant 64 bits of this UUID s 128 bit value
AtomicLong.get()	Gets the current value
PriorityBlockingQueue.PriorityBlockingQueue()	Creates a PriorityBlockingQueue with the default initial capacity 11 that orders its elements according to their natural ordering
Dictionary.size()	Returns the number of entries distinct keys in this dictionary
LogRecord.getMillis()	Get event time in milliseconds since 1970
LinkedTransferQueue.put(E)	Inserts the specified element at the tail of this queue
AbstractQueuedLongSynchronizer.getExclusiveQueuedThreads()	Returns a collection containing threads that may be waiting to acquire in exclusive mode This has the same properties as getQueuedThreads except that it only returns those threads waiting due to an exclusive acquire
IllegalFormatFlagsException.getFlags()	Returns the set of flags which contains an illegal combination
Manifest.getMainAttributes()	Returns the main Attributes for the Manifest
DeflaterOutputStream.DeflaterOutputStream(OutputStream,boolean)	Creates a new output stream with a default compressor a default buffer size and the specified flush mode
NodeChangeEvent.getParent()	Returns the parent of the node that was added or removed
ThreadPoolExecutor.isTerminated()	Description copied from interface ExecutorService
Locale.Builder.setLanguage(String)	Sets the language If language is the empty string or null the language in this Builder is removed Otherwise the language must be well formed or an exception is thrown
PatternSyntaxException.getPattern()	Retrieves the erroneous regular expression pattern
AbstractQueuedSynchronizer.getExclusiveQueuedThreads()	Returns a collection containing threads that may be waiting to acquire in exclusive mode This has the same properties as getQueuedThreads except that it only returns those threads waiting due to an exclusive acquire
Collections.synchronizedSortedSet(SortedSet)	Returns a synchronized thread safe sorted set backed by the specified sorted set In order to guarantee serial access it is critical that all access to the backing sorted set is accomplished through the returned sorted set or its views
WeakHashMap.clear()	Removes all of the mappings from this map
CancellationException.CancellationException(String)	Constructs a CancellationException with the specified detail message
CopyOnWriteArrayList.clone()	Returns a shallow copy of this list The elements themselves are not copied
AtomicInteger.AtomicInteger()	Creates a new AtomicInteger with initial value 0
Arrays.toString(char[])	Returns a string representation of the contents of the specified array
WeakHashMap.containsKey(Object)	Returns true if this map contains a mapping for the specified key
Date.getYear()	Returns a value that is the result of subtracting 1900 from the year that contains or begins with the instant in time represented by this Date object as interpreted in the local time zone
AbstractPreferences.getByteArray(String,byte[])	Implements the getByteArray method as per the specification in Preferences getByteArray String byte
Arrays.copyOfRange(char[],int,int)	Copies the specified range of the specified array into a new array
Queue.peek()	Retrieves but does not remove the head of this queue or returns null if this queue is empty
Locale.getUnicodeLocaleType(String)	Returns the Unicode locale type associated with the specified Unicode locale key for this locale Returns the empty string for keys that are defined with no type
BlockingQueue.add(E)	Inserts the specified element into this queue if it is possible to do so immediately without violating capacity restrictions returning true upon success and throwing an IllegalStateException if no space is currently available
ArrayDeque.contains(Object)	Returns true if this deque contains the specified element
JarFile.JarFile(String)	Creates a new JarFile to read from the specified file name The JarFile will be verified if it is signed
TreeSet.headSet(E)	Description copied from interface NavigableSet
LinkedList.descendingIterator()	Description copied from interface Deque
ArrayDeque.remove()	Retrieves and removes the head of the queue represented by this deque
Inflater.inflate(byte[])	Uncompresses bytes into specified buffer Returns actual number of bytes uncompressed A return value of 0 indicates that needsInput or needsDictionary should be called in order to determine if more input data or a preset dictionary is required
ArrayList.add(int,E)	Inserts the specified element at the specified position in this list Shifts the element currently at that position if any and any subsequent elements to the right adds one to their indices
LinkedList.removeLastOccurrence(Object)	Removes the last occurrence of the specified element in this list when traversing the list from head to tail If the list does not contain the element it is unchanged
LocaleNameProvider.getDisplayLanguage(String,Locale)	Returns a localized name for the given IETF BCP47 language code and the given locale that is appropriate for display to the user
PatternSyntaxException.PatternSyntaxException(String,String,int)	Constructs a new instance of this class
ConcurrentSkipListMap.ceilingKey(K)	Description copied from interface NavigableMap
Arrays.copyOf(float[],int)	Copies the specified array truncating or padding with zeros if necessary so the copy has the specified length For all indices that are valid in both the original array and the copy the two arrays will contain identical values For any indices that are valid in the copy but not the original the copy will contain 0f
ResourceBundle.Control.getNoFallbackControl(List)	Returns a ResourceBundle Control in which the getFormats method returns the specified formats and the getFallbackLocale method returns null The formats must be equal to one of FORMAT PROPERTIES FORMAT CLASS or FORMAT DEFAULT
Phaser.getRegisteredParties()	Returns the number of parties registered at this phaser
WeakHashMap.WeakHashMap(int,float)	Constructs a new empty WeakHashMap with the given initial capacity and the given load factor
LinkedTransferQueue.offer(E)	Inserts the specified element at the tail of this queue
Collections.checkedCollection(Collection,Class)	Returns a dynamically typesafe view of the specified collection
Collections.reverse(List)	Reverses the order of the elements in the specified list
AtomicInteger.get()	Gets the current value
CopyOnWriteArrayList.removeAll(Collection)	Removes from this list all of its elements that are contained in the specified collection This is a particularly expensive operation in this class because of the need for an internal temporary array
LinkedList.getLast()	Returns the last element in this list
Map.keySet()	Returns a Set view of the keys contained in this map
ConcurrentSkipListMap.put(K,V)	Associates the specified value with the specified key in this map
ZipEntry.toString()	Returns a string representation of the ZIP entry
Calendar.setFirstDayOfWeek(int)	Sets what the first day of the week is e g SUNDAY in the U S MONDAY in France
List.containsAll(Collection)	Returns true if this list contains all of the elements of the specified collection
Dictionary.keys()	Returns an enumeration of the keys in this dictionary The general contract for the keys method is that an Enumeration object is returned that will generate all the keys for which this dictionary contains entries
Stack.empty()	Tests if this stack is empty
AtomicMarkableReference.compareAndSet(V,V,boolean,boolean)	Atomically sets the value of both the reference and mark to the given update values if the current reference is to the expected reference and the current mark is equal to the expected mark
Vector.toArray(T[])	Returns an array containing all of the elements in this Vector in the correct order the runtime type of the returned array is that of the specified array If the Vector fits in the specified array it is returned therein Otherwise a new array is allocated with the runtime type of the specified array and the size of this Vector
Semaphore.hasQueuedThreads()	Queries whether any threads are waiting to acquire Note that because cancellations may occur at any time a true return does not guarantee that any other thread will ever acquire This method is designed primarily for use in monitoring of the system state
Arrays.fill(boolean[],int,int,boolean)	Assigns the specified boolean value to each element of the specified range of the specified array of booleans The range to be filled extends from index fromIndex inclusive to index toIndex exclusive If fromIndex toIndex the range to be filled is empty
SortedMap.tailMap(K)	Returns a view of the portion of this map whose keys are greater than or equal to fromKey The returned map is backed by this map so changes in the returned map are reflected in this map and vice versa The returned map supports all optional map operations that this map supports
Semaphore.acquire(int)	Acquires the given number of permits from this semaphore blocking until all are available or the thread is interrupted
Calendar.add(int,int)	Adds or subtracts the specified amount of time to the given calendar field based on the calendar s rules For example to subtract 5 days from the current time of the calendar you can achieve it by calling add Calendar DAY OF MONTH 5
TreeMap.clear()	Removes all of the mappings from this map
LinkedList.poll()	Retrieves and removes the head first element of this list
ReentrantReadWriteLock.WriteLock.toString()	Returns a string identifying this lock as well as its lock state The state in brackets includes either the String Unlocked or the String Locked by followed by the name of the owning thread
TreeSet.higher(E)	Description copied from interface NavigableSet
AtomicLong.toString()	Returns the String representation of the current value
Matcher.replaceFirst(String)	Replaces the first subsequence of the input sequence that matches the pattern with the given replacement string
Scanner.hasNextBoolean()	Returns true if the next token in this scanner s input can be interpreted as a boolean value using a case insensitive pattern created from the string true false The scanner does not advance past the input that matched
ZipEntry.getSize()	Returns the uncompressed size of the entry data or 1 if not known
ZipEntry.getTime()	Returns the modification time of the entry or 1 if not specified
EnumMap.EnumMap(Class)	Creates an empty enum map with the specified key type
Formatter.Formatter(Locale)	Constructs a new formatter with the specified locale
Deque.removeLastOccurrence(Object)	Removes the last occurrence of the specified element from this deque
CountDownLatch.CountDownLatch(int)	Constructs a CountDownLatch initialized with the given count
AbstractPreferences.putByteArray(String,byte[])	Implements the putByteArray method as per the specification in Preferences putByteArray String byte
DeflaterInputStream.reset()	This operation is not supported
Locale.Builder.removeUnicodeLocaleAttribute(String)	Removes a unicode locale attribute if present otherwise has no effect The attribute must not be null and must be well formed or an exception is thrown
LinkedBlockingDeque.offerLast(E)	Description copied from interface BlockingDeque
Adler32.reset()	Resets the checksum to initial value
TreeMap.floorKey(K)	Description copied from interface NavigableMap
Executors.newSingleThreadScheduledExecutor()	Creates a single threaded executor that can schedule commands to run after a given delay or to execute periodically
LinkedList.contains(Object)	Returns true if this list contains the specified element
TreeMap.headMap(K)	Description copied from interface NavigableMap
Vector.addAll(Collection)	Appends all of the elements in the specified Collection to the end of this Vector in the order that they are returned by the specified Collection s Iterator The behavior of this operation is undefined if the specified Collection is modified while the operation is in progress
Date.setTime(long)	Sets this Date object to represent a point in time that is time milliseconds after January 1 1970 00 00 00 GMT
Arrays.hashCode(boolean[])	Returns a hash code based on the contents of the specified array
ZipEntry.ZipEntry(ZipEntry)	Creates a new zip entry with fields taken from the specified zip entry
ReentrantReadWriteLock.WriteLock.lock()	Acquires the write lock
LinkedBlockingDeque.pollFirst(long,TimeUnit)	Description copied from interface BlockingDeque
CyclicBarrier.CyclicBarrier(int,Runnable)	Creates a new CyclicBarrier that will trip when the given number of parties threads are waiting upon it and which will execute the given barrier action when the barrier is tripped performed by the last thread entering the barrier
AtomicLongArray.addAndGet(int,long)	Atomically adds the given value to the element at index i
ConcurrentSkipListSet.remove(Object)	Removes the specified element from this set if it is present
FutureTask.FutureTask(Runnable,V)	Creates a FutureTask that will upon running execute the given Runnable and arrange that get will return the given result on successful completion
Executors.newSingleThreadExecutor()	Creates an Executor that uses a single worker thread operating off an unbounded queue Note however that if this single thread terminates due to a failure during execution prior to shutdown a new one will take its place if needed to execute subsequent tasks Tasks are guaranteed to execute sequentially and no more than one task will be active at any given time Unlike the otherwise equivalent newFixedThreadPool 1 the returned executor is guaranteed not to be reconfigurable to use additional threads
Arrays.equals(boolean[],boolean[])	Returns true if the two specified arrays of booleans are equal to one another Two arrays are considered equal if both arrays contain the same number of elements and all corresponding pairs of elements in the two arrays are equal In other words two arrays are equal if they contain the same elements in the same order Also two array references are considered equal if both are null
Phaser.getRoot()	Returns the root ancestor of this phaser which is the same as this phaser if it has no parent
BitSet.and(BitSet)	Performs a logical AND of this target bit set with the argument bit set This bit set is modified so that each bit in it has the value true if and only if it both initially had the value true and the corresponding bit in the bit set argument also had the value true
Formatter.ioException()	Returns the IOException last thrown by this formatter s Appendable
DelayQueue.poll()	Retrieves and removes the head of this queue or returns null if this queue has no elements with an expired delay
AtomicReference.get()	Gets the current value
CopyOnWriteArraySet.removeAll(Collection)	Removes from this set all of its elements that are contained in the specified collection If the specified collection is also a set this operation effectively modifies this set so that its value is the asymmetric set difference of the two sets
AtomicIntegerFieldUpdater.getAndDecrement(T)	Atomically decrements by one the current value of the field of the given object managed by this updater
Arrays.binarySearch(byte[],byte)	Searches the specified array of bytes for the specified value using the binary search algorithm The array must be sorted as by the sort byte method prior to making this call If it is not sorted the results are undefined If the array contains multiple elements with the specified value there is no guarantee which one will be found
LinkedBlockingDeque.toArray(T[])	Returns an array containing all of the elements in this deque in proper sequence the runtime type of the returned array is that of the specified array If the deque fits in the specified array it is returned therein Otherwise a new array is allocated with the runtime type of the specified array and the size of this deque
SynchronousQueue.SynchronousQueue()	Creates a SynchronousQueue with nonfair access policy
AbstractList.hashCode()	Returns the hash code value for this list
LinkedBlockingDeque.element()	Retrieves but does not remove the head of the queue represented by this deque This method differs from peek only in that it throws an exception if this deque is empty
ThreadPoolExecutor.ThreadPoolExecutor(int,int,long,TimeUnit,BlockingQueue,ThreadFactory,RejectedExecutionHandler)	Creates a new ThreadPoolExecutor with the given initial parameters
ExecutorCompletionService.ExecutorCompletionService(Executor,BlockingQueue)	Creates an ExecutorCompletionService using the supplied executor for base task execution and the supplied queue as its completion queue
Phaser.toString()	Returns a string identifying this phaser as well as its state The state in brackets includes the String phase followed by the phase number parties followed by the number of registered parties and arrived followed by the number of arrived parties
Collections.copy(List,List)	Copies all of the elements from one list into another After the operation the index of each copied element in the destination list will be identical to its index in the source list The destination list must be at least as long as the source list If it is longer the remaining elements in the destination list are unaffected This method runs in linear time
GregorianCalendar.GregorianCalendar(TimeZone,Locale)	Constructs a GregorianCalendar based on the current time in the given time zone with the given locale
Scanner.skip(Pattern)	Skips input that matches the specified pattern ignoring delimiters
TreeMap.remove(Object)	Removes the mapping for this key from this TreeMap if present
CopyOnWriteArrayList.get(int)	Returns the element at the specified position in this list
CopyOnWriteArraySet.size()	Returns the number of elements in this set
ZipEntry.getName()	Returns the name of the entry
Locale.Builder.addUnicodeLocaleAttribute(String)	Adds a unicode locale attribute if not already present otherwise has no effect The attribute must not be null and must be well formed or an exception is thrown
Formatter.Formatter(File)	Constructs a new formatter with the specified file
Arrays.sort(double[],int,int)	Sorts the specified range of the array into ascending order The range to be sorted extends from the index fromIndex inclusive to the index toIndex exclusive If fromIndex toIndex the range to be sorted is empty
Manifest.Manifest(Manifest)	Constructs a new Manifest that is a copy of the specified Manifest
AbstractCollection.removeAll(Collection)	Removes all of this collection s elements that are also contained in the specified collection optional operation After this call returns this collection will contain no elements in common with the specified collection
Deflater.getAdler()	Returns the ADLER 32 value of the uncompressed data
LinkedBlockingDeque.poll(long,TimeUnit)	Description copied from interface BlockingDeque
Formatter.close()	Closes this formatter If the destination implements the Closeable interface its close method will be invoked
AbstractQueue.remove()	Retrieves and removes the head of this queue This method differs from poll only in that it throws an exception if this queue is empty
ThreadPoolExecutor.purge()	Tries to remove from the work queue all Future tasks that have been cancelled This method can be useful as a storage reclamation operation that has no other impact on functionality Cancelled tasks are never executed but may accumulate in work queues until worker threads can actively remove them Invoking this method instead tries to remove them now
ConcurrentSkipListSet.contains(Object)	Returns true if this set contains the specified element
Hashtable.clone()	Creates a shallow copy of this hashtable All the structure of the hashtable itself is copied but the keys and values are not cloned
WeakHashMap.get(Object)	Returns the value to which the specified key is mapped or null if this map contains no mapping for the key
Collections.indexOfSubList(List,List)	Returns the starting position of the first occurrence of the specified target list within the specified source list or 1 if there is no such occurrence More formally returns the lowest index i such that source subList i i target size equals target or 1 if there is no such index Returns 1 if target size source size This implementation uses the brute force technique of scanning over the source list looking for a match with the target at each location in turn
Vector.removeAll(Collection)	Removes from this Vector all of its elements that are contained in the specified Collection
Collections.synchronizedSet(Set)	Returns a synchronized thread safe set backed by the specified set In order to guarantee serial access it is critical that all access to the backing set is accomplished through the returned set
Arrays.binarySearch(short[],int,int,short)	Searches a range of the specified array of shorts for the specified value using the binary search algorithm
CopyOnWriteArraySet.CopyOnWriteArraySet(Collection)	Creates a set containing all of the elements of the specified collection
Observable.addObserver(Observer)	Adds an observer to the set of observers for this object provided that it is not the same as some observer already in the set
ConcurrentSkipListMap.firstKey()	Description copied from interface SortedMap
Scanner.hasNextDouble()	Returns true if the next token in this scanner s input can be interpreted as a double value using the nextDouble method The scanner does not advance past any input
Logger.logp(Level,String,String,String,Throwable)	Log a message specifying source class and method with associated Throwable information
TreeSet.subSet(E,E)	Description copied from interface NavigableSet
AtomicLongFieldUpdater.compareAndSet(T,long,long)	Atomically sets the field of the given object managed by this updater to the given updated value if the current value the expected value This method is guaranteed to be atomic with respect to other calls to compareAndSet and set but not necessarily with respect to other changes in the field
Formatter.Formatter(Appendable)	Constructs a new formatter with the specified destination
Date.toString()	Converts this Date object to a String of the form dow mon dd hh mm ss zzz yyyy where dow is the day of the week Sun Mon Tue Wed Thu Fri Sat
AtomicStampedReference.compareAndSet(V,V,int,int)	Atomically sets the value of both the reference and stamp to the given update values if the current reference is to the expected reference and the current stamp is equal to the expected stamp
List.subList(int,int)	Returns a view of the portion of this list between the specified fromIndex inclusive and toIndex exclusive If fromIndex and toIndex are equal the returned list is empty The returned list is backed by this list so non structural changes in the returned list are reflected in this list and vice versa
CyclicBarrier.await()	Waits until all parties have invoked await on this barrier
StreamHandler.StreamHandler(OutputStream,Formatter)	Create a StreamHandler with a given Formatter and output stream
